Spanish,English
cotizar,to be listed (stock); to pay contributions
facturar,to invoice; to check in (luggage)
adquirir,to acquire; to purchase
comercializar,to market; to sell
recaudar,to collect (taxes); to raise (funds)
importar,to import; to matter
encargar,to order; to put in charge
regatear,to haggle; to bargain
estafar,to swindle; to scam
reclamar,to demand; to claim
rendir,to yield; to produce
recortar,to cut back; to trim
encarecer,to make more expensive
prosperar,to prosper; to thrive
fracasar,to fail
triunfar,to succeed; to triumph
competir,to compete
emprender,to undertake; to set up
ejercer,to practise (profession); to exert
desempeñar,to carry out (a role)
delegar,to delegate
supervisar,to supervise
coordinar,to coordinate
administrar,to manage; to administer
ascender,to be promoted; to rise
dimitir,to resign
renunciar,to resign; to give up
jubilarse,to retire
asumir,to take on; to accept (responsibility)
cumplir,to fulfil; to comply; to turn (age)
aplazar,to postpone
adelantar,to bring forward; to overtake
asistir,to attend; to assist
convocar,to call (a meeting); to convene
caducar,to expire; to run out
explotar,to exploit; to explode
rentable,profitable; worthwhile
asequible,affordable; attainable
costoso,costly; expensive
gratuito,free of charge; unwarranted
bancario,banking; bank (adj)
empresarial,business; corporate
competitivo,competitive
productivo,productive
eficaz,effective
estable,stable; steady
viable,viable; feasible
cualificado,qualified; skilled
precario,precarious; insecure
llevar a cabo,to carry out
poner en marcha,to launch; to start up
ganarse la vida,to earn a living
a tiempo completo,full-time
a tiempo parcial,part-time
por cuenta propia,self-employed
de segunda mano,second-hand
escaño; el escaño,seat (in parliament)
legislatura; la legislatura,parliamentary term; legislature
mandato; el mandato,term of office; mandate
urna; la urna,ballot box
papeleta; la papeleta,ballot paper; slip
sufragio; el sufragio,suffrage; the vote
electorado; el electorado,electorate
electoral,electoral; election
escrutinio; el escrutinio,vote count; scrutiny
recuento; el recuento,count; recount
abstención; la abstención,abstention
abstenerse,to abstain; to refrain
candidatura; la candidatura,candidacy; list of candidates
referéndum; el referéndum,referendum
mitin; el mitin,political rally
sondeo; el sondeo,poll; survey
militante; el militante,party member; activist
afiliado; el afiliado,member (of a party or union)
gabinete; el gabinete,cabinet; office
presidencia; la presidencia,presidency; chairmanship
vicepresidente; el vicepresidente,vice president; deputy chair
mandatario; el mandatario,head of state; leader
gobernante; el gobernante,ruler; person in power
investidura; la investidura,swearing in; investiture
moción; la moción,motion (parliament)
coalición; la coalición,coalition
alianza; la alianza,alliance
consenso; el consenso,consensus
veto; el veto,veto
vetar,to veto; to block
ratificar,to ratify; to confirm
vinculante,binding
conservador,conservative
progresista,progressive
socialista,socialist
liberal,liberal
nacionalismo; el nacionalismo,nationalism
populismo; el populismo,populism
populista,populist
autoritario,authoritarian; domineering
régimen; el régimen,regime; diet (food)
dictador; el dictador,dictator
golpe de Estado; el golpe de Estado,coup
soberanía; la soberanía,sovereignty
autonomía; la autonomía,autonomy; self-government
estatal,state-run; of the state
municipal,municipal; town
concejal; el concejal,town councillor
diplomacia; la diplomacia,diplomacy
diplomático,diplomatic
potencia; la potencia,power (country); strength
aliado; el aliado,ally
adversario; el adversario,opponent; adversary
amenaza; la amenaza,threat
tregua; la tregua,truce; respite
alto el fuego; el alto el fuego,ceasefire
armamento; el armamento,weaponry; arms
tropa; la tropa,troops; soldiers as a group
ofensiva; la ofensiva,offensive (military attack)
bloqueo; el bloqueo,blockade; deadlock
exilio; el exilio,exile
asilo; el asilo,asylum; refuge
represión; la represión,repression; crackdown
reprimir,to repress; to hold back
disidente; el disidente,dissident
activista; el activista,activist
movilización; la movilización,mobilization
movilizar,to mobilize; to rally
reivindicar,to demand; to claim
reivindicación; la reivindicación,demand; claim
consigna; la consigna,slogan; instruction
lema; el lema,motto; slogan
pancarta; la pancarta,banner; placard
concentración; la concentración,rally; concentration
boicot; el boicot,boycott
destituir,to remove from office; to dismiss
cesar,to dismiss; to cease
nombramiento; el nombramiento,appointment (to a post)
nombrar,to appoint; to name
designar,to designate; to appoint
presidir,to chair; to preside over
debatir,to debate; to discuss
fiscalía; la fiscalía,prosecutor's office
magistrado; el magistrado,senior judge (higher court)
demandante; el demandante,plaintiff; claimant
imputado; el imputado,accused person; formally charged suspect
detenido; el detenido,detainee; person under arrest
detener,to arrest; to stop
interrogar,to question; to interrogate
interrogatorio; el interrogatorio,questioning; interrogation
registrar,to search; to record
culpabilidad; la culpabilidad,guilt
inocencia; la inocencia,innocence
absolver,to acquit; to absolve
condenar,to convict; to sentence; to condemn
sentencia; la sentencia,ruling; sentence (court)
fallo; el fallo,ruling; fault
veredicto; el veredicto,verdict
apelar,to appeal
apelación; la apelación,appeal (legal)
demandar,to sue; to demand
denunciar,to report (to the police); to denounce
querella; la querella,legal complaint; lawsuit
litigio; el litigio,litigation; dispute
declarar,to state; to testify; to declare
testimonio; el testimonio,testimony; account
indicio; el indicio,sign; piece of evidence
coartada; la coartada,alibi
delincuencia; la delincuencia,crime (as a problem)
impunidad; la impunidad,impunity
cómplice; el cómplice,accomplice
atraco; el atraco,robbery; holdup
homicidio; el homicidio,homicide; manslaughter
agresión; la agresión,assault; aggression
agresor; el agresor,attacker; aggressor
maltrato; el maltrato,abuse; mistreatment
acoso; el acoso,harassment; bullying
abuso; el abuso,abuse; misuse
cadena perpetua; la cadena perpetua,life sentence
indulto; el indulto,pardon
amnistía; la amnistía,amnesty
legislación; la legislación,legislation
legislar,to legislate
legítimo,legitimate; rightful
vigente,in force; current
derogar,to repeal
enmienda; la enmienda,amendment
requisito; el requisito,requirement
testamento; el testamento,will (legal)
heredar,to inherit
heredero; el heredero,heir
obligación; la obligación,obligation; duty
infracción; la infracción,offence; breach
penal,criminal (law)
jurídico,legal
judicial,judicial; court
acusación; la acusación,accusation; prosecution
comparecer,to appear (in court)
registro; el registro,register; record; search of premises
censo; el censo,census; electoral roll
ventanilla; la ventanilla,service window; counter
autorización; la autorización,authorization; permit
autorizar,to authorize; to allow
hacienda; la hacienda,treasury; tax authority
evasión; la evasión,evasion; escape
blanqueo; el blanqueo,money laundering
malversación; la malversación,embezzlement
organismo; el organismo,official body; organism
institución; la institución,institution
transparencia; la transparencia,transparency
trama; la trama,scheme; plot; network
vigilancia; la vigilancia,surveillance; watch
partidario; el partidario,supporter; follower
brecha; la brecha,gap; breach
exclusión; la exclusión,exclusion
marginación; la marginación,marginalization
vulnerable,vulnerable
convivir,to live together; to coexist
integrar,to integrate; to make up
acoger,to take in; to welcome
acogida; la acogida,reception; welcome
albergue; el albergue,shelter; hostel
expulsar,to expel; to throw out
nacionalidad; la nacionalidad,nationality; citizenship
etnia; la etnia,ethnic group
tolerancia; la tolerancia,tolerance
xenofobia; la xenofobia,xenophobia
feminismo; el feminismo,feminism
feminista,feminist
machista,sexist; male chauvinist
analfabetismo; el analfabetismo,illiteracy
contundente,forceful; emphatic
precariedad; la precariedad,precariousness; job insecurity
desigual,unequal; uneven
privilegio; el privilegio,privilege
desahucio; el desahucio,eviction
natalidad; la natalidad,birth rate
envejecimiento; el envejecimiento,ageing
multitud; la multitud,crowd; a great many
disturbio; el disturbio,riot; disturbance
voluntariado; el voluntariado,volunteering; volunteer work
solidario,supportive; caring about others
difusión; la difusión,broadcasting; spread
cobertura; la cobertura,coverage
corresponsal; el corresponsal,correspondent
rueda de prensa; la rueda de prensa,press conference
comunicado; el comunicado,official statement; press release
filtración; la filtración,leak
filtrar,to leak; to filter
desmentir,to deny; to refute
desinformación; la desinformación,disinformation; fake news
sesgo; el sesgo,bias; slant
imparcial,impartial; unbiased
libertad de expresión; la libertad de expresión,freedom of speech
polémica; la polémica,controversy; row
polémico,controversial
presentador; el presentador,presenter; news anchor
viral,viral
repercusión; la repercusión,impact; repercussion
censurar,to censor; to criticize harshly
edición; la edición,edition; editing
primicia; la primicia,scoop; exclusive story
suceso; el suceso,event; incident
incidente; el incidente,incident
atentado; el atentado,attack (terrorist)
terrorismo; el terrorismo,terrorism
terrorista,terrorist
rehén; el rehén,hostage
tiroteo; el tiroteo,shooting; gunfight
estallar,to break out; to explode
evacuar,to evacuate
prever,to foresee; to forecast
agravar,to make worse; to aggravate
advertir,to warn; to notice
advertencia; la advertencia,warning
divulgar,to disclose; to spread
alegar,to claim; to allege
destacar,to stand out; to highlight
subrayar,to stress; to underline
cuestionar,to question; to challenge
desafiar,to challenge; to defy
respaldar,to back; to support
impulsar,to boost; to drive forward
fomentar,to promote; to encourage
garantizar,to guarantee; to ensure
liderar,to lead
imponer,to impose
restringir,to restrict
retirar,to withdraw; to remove
afirmar,to state; to affirm
masivo,massive; mass
previo,previous; prior
experimento; el experimento,experiment
hallazgo; el hallazgo,finding; discovery
estadística; la estadística,statistic; statistics
promedio; el promedio,average
gráfico; el gráfico,chart; graph
medición; la medición,measurement
cálculo; el cálculo,calculation
fórmula; la fórmula,formula
ecuación; la ecuación,equation
observación; la observación,observation; remark
variable; la variable,variable
proporción; la proporción,proportion; ratio
probabilidad; la probabilidad,probability; likelihood
bacteria; la bacteria,bacterium; germ
ensayo; el ensayo,trial (clinical); essay
astronomía; la astronomía,astronomy
átomo; el átomo,atom
molécula; la molécula,molecule
célula; la célula,cell (biology)
gen; el gen,gene
genética; la genética,genetics
ADN; el ADN,DNA
evolución; la evolución,evolution
magnitud; la magnitud,magnitude; scale
sustancia; la sustancia,substance
compuesto; el compuesto,compound (chemistry)
vertido; el vertido,spill; dumping of waste
densidad; la densidad,density
presión; la presión,pressure
onda; la onda,wave (physics)
radiación; la radiación,radiation
partícula; la partícula,particle
núcleo; el núcleo,nucleus; core
microscopio; el microscopio,microscope
telescopio; el telescopio,telescope
órbita; la órbita,orbit
cohete; el cohete,rocket
verificar,to verify; to check
analizar,to analyze; to examine
experimentar,to experiment; to experience
refutar,to refute; to disprove
estimar,to estimate; to reckon
predecir,to predict; to foretell
simular,to simulate; to pretend
disolver,to dissolve; to break up
fiable,reliable; trustworthy
preciso,precise; accurate
significativo,significant; meaningful
descartar,to rule out; to discard
detectar,to detect
identificar,to identify
clasificar,to classify; to sort
combinar,to combine; to mix
transformar,to transform
prototipo; el prototipo,prototype
ingeniería; la ingeniería,engineering
ciclo; el ciclo,cycle
oxígeno; el oxígeno,oxygen
algoritmo; el algoritmo,algorithm
almacenamiento; el almacenamiento,storage
almacenar,to store
copia de seguridad; la copia de seguridad,backup
registrarse,to sign up; to register
iniciar sesión,to log in
cerrar sesión,to log out
configurar,to set up; to configure
configuración; la configuración,settings; setup
ajuste; el ajuste,setting; adjustment
reiniciar,to restart; to reboot
adjuntar,to attach (a file)
ciberseguridad; la ciberseguridad,cybersecurity
ciberataque; el ciberataque,cyberattack
pirata informático; el pirata informático,hacker
privacidad; la privacidad,privacy
cifrado; el cifrado,encryption
huella digital; la huella digital,fingerprint
interfaz; la interfaz,interface
plataforma; la plataforma,platform
automatización; la automatización,automation
escanear,to scan
procesador; el procesador,processor
chip; el chip,chip; microchip
circuito; el circuito,circuit
inalámbrico,wireless
automático,automatic
sistema operativo; el sistema operativo,operating system
sitio web; el sitio web,website
videollamada; la videollamada,video call
realidad virtual; la realidad virtual,virtual reality
dron; el dron,drone
sensor; el sensor,sensor
hacer clic,to click
versión; la versión,version
formato; el formato,format
comprimir,to compress; to zip
brecha digital; la brecha digital,digital divide
captura de pantalla; la captura de pantalla,screenshot
pantalla táctil; la pantalla táctil,touchscreen
píxel; el píxel,pixel
notificación; la notificación,notification
alerta; la alerta,alert; warning
acceder,to access; to agree to
sincronizar,to synchronize; to sync
compatible,compatible
rastrear,to track; to trace
apagón; el apagón,blackout; power cut
funcionamiento; el funcionamiento,functioning; operation
obsoleto,obsolete; outdated
ola de calor; la ola de calor,heat wave
deshielo; el deshielo,thaw; melting
glaciar; el glaciar,glacier
capa de ozono; la capa de ozono,ozone layer
dióxido de carbono; el dióxido de carbono,carbon dioxide
petróleo; el petróleo,oil; petroleum
carbón; el carbón,coal; charcoal
pesticida; el pesticida,pesticide
fertilizante; el fertilizante,fertilizer
cultivo; el cultivo,crop; cultivation
cosecha; la cosecha,harvest; crop
erosión; la erosión,erosion
reutilizar,to reuse
vidrio; el vidrio,glass (material)
huerto; el huerto,vegetable garden; orchard
reserva natural; la reserva natural,nature reserve
tala; la tala,logging; tree felling
vegetación; la vegetación,vegetation
terreno; el terreno,land; ground
humo; el humo,smoke; fumes
ceniza; la ceniza,ash
pronóstico; el pronóstico,forecast; prediction
preservar,to preserve
agotar,to use up; to exhaust
supervivencia; la supervivencia,survival
sobrevivir,to survive
adaptarse,to adapt
reproducirse,to reproduce; to breed
emitir,to emit; to broadcast
absorber,to absorb
derretirse,to melt
extinguirse,to become extinct; to die out
ecologista; el ecologista,environmentalist
potable,drinkable; safe to drink
orgánico,organic
entorno; el entorno,environment; surroundings
riego; el riego,irrigation; watering
sembrar,to sow; to plant
cultivar,to grow; to cultivate
depredador; el depredador,predator
presa; la presa,prey; dam
manada; la manada,herd; pack
mamífero; el mamífero,mammal
ave; el ave,bird
reptil; el reptil,reptile
garra; la garra,claw; talon
instinto; el instinto,instinct
macho; el macho,male (animal)
hembra; la hembra,female (animal)
veneno; el veneno,poison; venom
venenoso,poisonous; venomous
salvaje,wild; savage
doméstico,domestic; tame
migración; la migración,migration
tronco; el tronco,trunk; log
polen; el polen,pollen
fruto; el fruto,fruit (of a plant); result
hongo; el hongo,fungus; mushroom
pino; el pino,pine tree
arbusto; el arbusto,bush; shrub
brote; el brote,outbreak; sprout
florecer,to bloom; to flourish
depresión; la depresión,depression
salud mental; la salud mental,mental health
recetar,to prescribe
efecto secundario; el efecto secundario,side effect
antibiótico; el antibiótico,antibiotic
quirófano; el quirófano,operating room
ingresar,to admit (to hospital); to deposit
alta; el alta,discharge (from hospital)
anestesia; la anestesia,anesthesia
radiografía; la radiografía,X-ray
ecografía; la ecografía,ultrasound scan
sangrar,to bleed
hinchazón; la hinchazón,swelling
inflamación; la inflamación,inflammation
fractura; la fractura,fracture; break
silla de ruedas; la silla de ruedas,wheelchair
discapacidad; la discapacidad,disability
latido; el latido,heartbeat; beat
pulso; el pulso,pulse; steady hand
colesterol; el colesterol,cholesterol
diabetes; la diabetes,diabetes
cáncer; el cáncer,cancer
tumor; el tumor,tumor
infarto; el infarto,heart attack
obesidad; la obesidad,obesity
nutrición; la nutrición,nutrition
nutriente; el nutriente,nutrient
vitamina; la vitamina,vitamin
proteína; la proteína,protein
grasa; la grasa,fat; grease
caloría; la caloría,calorie
fibra; la fibra,fiber
insomnio; el insomnio,insomnia
fatiga; la fatiga,fatigue; tiredness
recuperarse,to recover; to get better
recuperación; la recuperación,recovery
rehabilitación; la rehabilitación,rehabilitation; physical therapy
aliviar,to relieve; to ease
alivio; el alivio,relief
empeorar,to get worse; to worsen
recaída; la recaída,relapse
esperanza de vida; la esperanza de vida,life expectancy
mortalidad; la mortalidad,mortality; death rate
fallecer,to pass away; to die
envejecer,to age; to grow old
embarazo; el embarazo,pregnancy
embarazada,pregnant
parto; el parto,childbirth; labor
pediatra; el pediatra,pediatrician
sistema inmunitario; el sistema inmunitario,immune system
inmunidad; la inmunidad,immunity
parásito; el parásito,parasite
transmisión; la transmisión,transmission; broadcast
propagarse,to spread
cuarentena; la cuarentena,quarantine
aislamiento; el aislamiento,isolation; insulation
mascarilla; la mascarilla,face mask
desinfectar,to disinfect
termómetro; el termómetro,thermometer
historial médico; el historial médico,medical record
agudo,acute; sharp
mortal,deadly; fatal
hereditario,hereditary
sedentario,sedentary
droga; la droga,drug (narcotic)
adicción; la adicción,addiction
padecer,to suffer from; to endure
toser,to cough
estornudar,to sneeze
vomitar,to vomit; to throw up
desmayarse,to faint; to pass out
adelgazar,to lose weight
engordar,to put on weight
lista de espera; la lista de espera,waiting list
diarrea; la diarrea,diarrhea
picadura; la picadura,insect bite; sting
quemadura; la quemadura,burn
coma; el coma,coma (medical)
reposo; el reposo,rest; bed rest
prevenir,to prevent; to warn
migraña; la migraña,migraine
angustia; la angustia,anguish; distress
asombro; el asombro,amazement; astonishment
arrepentimiento; el arrepentimiento,regret; remorse
afecto; el afecto,affection; fondness
asco; el asco,disgust; revulsion
consuelo; el consuelo,comfort; consolation
desesperación; la desesperación,despair; desperation
desilusión; la desilusión,disappointment; letdown
desprecio; el desprecio,contempt; scorn
disgusto; el disgusto,displeasure; upset
frustración; la frustración,frustration
furia; la furia,fury; rage
impotencia; la impotencia,helplessness; powerlessness
indignación; la indignación,outrage; indignation
inquietud; la inquietud,unease; restlessness
ira; la ira,anger; wrath
pánico; el pánico,panic
rencor; el rencor,resentment; grudge
satisfacción; la satisfacción,satisfaction
serenidad; la serenidad,serenity; composure
susto; el susto,fright; scare
ternura; la ternura,tenderness
estado de ánimo; el estado de ánimo,mood; state of mind
aburrimiento; el aburrimiento,boredom
pereza; la pereza,laziness; reluctance
desconfianza; la desconfianza,distrust; mistrust
abrumar,to overwhelm
abrumado,overwhelmed
añorar,to miss; to long for
aterrador,terrifying
conmover,to move (emotionally); to touch
conmovedor,moving; touching
decepcionar,to disappoint; to let down
desahogarse,to let off steam; to open up
desesperado,desperate; hopeless
desanimar,to discourage; to dishearten
emocionante,exciting; thrilling
entusiasmado,excited; enthusiastic
frustrado,frustrated
frustrar,to frustrate; to thwart
furioso,furious
hartarse,to get fed up; to have enough
ilusionado,excited; hopeful
indignado,outraged; indignant
inquietar,to worry; to unsettle
inquieto,restless; uneasy
irritar,to irritate; to annoy
irritado,irritated; annoyed
insoportable,unbearable; insufferable
temer,to fear; to be afraid of
avergonzarse,to be ashamed; to feel embarrassed
impresionar,to impress; to shock
agresivo,aggressive
ambición; la ambición,ambition
apasionado,passionate
arrogante,arrogant
astuto,cunning; shrewd
atento,attentive; considerate
autoestima; la autoestima,self-esteem
bondad; la bondad,goodness; kindness
comprensivo,understanding; sympathetic
cortesía; la cortesía,courtesy; politeness
decidido,determined; resolute
desconfiado,distrustful; wary
discreto,discreet; tactful
distraído,absent-minded; distracted
encantador,charming; delightful
envidioso,envious
estricto,strict
extrovertido,extroverted; outgoing
introvertido,introverted
generosidad; la generosidad,generosity
grosero,rude; crude
hipócrita,hypocritical
honrado,honest; decent
humilde,humble; modest
humildad; la humildad,humility
ingenuo,naive; gullible
inseguro,insecure; unsure
irresponsable,irresponsible
leal,loyal
lealtad; la lealtad,loyalty
madurez; la madurez,maturity
optimismo; el optimismo,optimism
pesimismo; el pesimismo,pessimism
prudente,cautious; prudent
rebelde,rebellious
reservado,reserved; withdrawn
sensato,sensible; level-headed
sensibilidad; la sensibilidad,sensitivity
simpatía; la simpatía,warmth; liking
sinceridad; la sinceridad,sincerity
sociable,sociable
tacaño,stingy; mean
terco,stubborn
tolerante,tolerant
travieso,mischievous; naughty
vago,lazy; vague
valentía; la valentía,bravery; courage
racista,racist
apego; el apego,attachment; fondness
acompañar,to accompany; to go with
amante; el amante,lover
amabilidad; la amabilidad,kindness; friendliness
apoyo; el apoyo,support; backing
caer bien,to be likeable; to come across well
comprometerse,to commit; to get engaged
disculpa; la disculpa,apology; excuse
divorciarse,to get divorced
echar de menos,to miss (a person)
enfrentarse,to confront; to face
entenderse,to get along; to understand each other
fidelidad; la fidelidad,faithfulness; fidelity
fiel,faithful; loyal
gesto; el gesto,gesture; expression
hacer las paces,to make up; to make peace
intimidad; la intimidad,intimacy; privacy
íntimo,intimate; close
lazo; el lazo,bond; tie
llevarse bien,to get along well
malentendido; el malentendido,misunderstanding
pelea; la pelea,fight; argument
presencia; la presencia,presence
rechazo; el rechazo,rejection; refusal
reconciliarse,to reconcile; to make up
relacionarse,to socialize; to interact
reproche; el reproche,reproach; rebuke
reprochar,to reproach; to criticize
rival; el rival,rival
ruptura; la ruptura,breakup; split
separación; la separación,separation; parting
agradecimiento; el agradecimiento,gratitude; thanks
comprensión; la comprensión,understanding; sympathy
encuentro; el encuentro,encounter; meeting
discrepar,to disagree; to differ
aclarar,to clarify; to clear up
acertar,to get right; to guess right
aprendizaje; el aprendizaje,learning; apprenticeship
argumentar,to argue; to make a case
averiguar,to find out; to ascertain
captar,to grasp; to pick up
coherente,coherent; consistent
deducir,to deduce; to work out
conciencia; la conciencia,awareness; conscience
concluir,to conclude; to finish
confundir,to confuse; to mix up
confuso,confusing; confused
consciente,aware; conscious
convencer,to convince; to persuade
creatividad; la creatividad,creativity
curiosidad; la curiosidad,curiosity
definir,to define
determinar,to determine; to establish
dilema; el dilema,dilemma
distinguir,to distinguish; to make out
enterarse,to hear about; to learn of
equivocarse,to be wrong; to make a mistake
exponer,to present; to expose
fundamental,fundamental; key
ignorar,to ignore; to be unaware of
implicar,to imply; to involve
imprescindible,essential; indispensable
incierto,uncertain
inconsciente,unconscious; unaware
indicar,to indicate; to point out
interpretar,to interpret; to perform
intuición; la intuición,intuition
