German,English
Rezept; das Rezept,prescription; recipe
Tablette; die Tablette,pill; tablet
Zahnarzt; der Zahnarzt,dentist
Patient; der Patient,patient
Behandlung; die Behandlung,treatment
Operation; die Operation,operation; surgery
Mahlzeit; die Mahlzeit,meal
Rindfleisch; das Rindfleisch,beef
Schweinefleisch; das Schweinefleisch,pork
Hähnchen; das Hähnchen,chicken (meat)
Mehl; das Mehl,flour
Öl; das Öl,oil
Honig; der Honig,honey
Joghurt; der Joghurt,yoghurt
Sahne; die Sahne,cream
Soße; die Soße,sauce
Zwiebel; die Zwiebel,onion
Knoblauch; der Knoblauch,garlic
Karotte; die Karotte,carrot
Gurke; die Gurke,cucumber
Paprika; die Paprika,pepper (vegetable)
Pilz; der Pilz,mushroom
Bohne; die Bohne,bean
Zitrone; die Zitrone,lemon
Erdbeere; die Erdbeere,strawberry
Kirsche; die Kirsche,cherry
Birne; die Birne,pear
Nuss; die Nuss,nut
Keks; der Keks,biscuit; cookie
Cola; die Cola,cola
Limonade; die Limonade,lemonade
Mineralwasser; das Mineralwasser,mineral water
Portion; die Portion,portion
Stück; das Stück,piece
Speisekarte; die Speisekarte,menu
Trinkgeld; das Trinkgeld,tip (gratuity)
Bäckerei; die Bäckerei,bakery
Zutat; die Zutat,ingredient
Geschmack; der Geschmack,taste; flavour
sauer,sour
salzig,salty
scharf,spicy; sharp
bitter,bitter
gekocht,cooked; boiled
vegetarisch,vegetarian
Gebäude; das Gebäude,building
Stock; der Stock,floor; storey
Keller; der Keller,cellar; basement
Dach; das Dach,roof
Balkon; der Balkon,balcony
Flur; der Flur,hallway
Aufzug; der Aufzug,lift; elevator
Heizung; die Heizung,heating
Möbel; die Möbel,furniture
Regal; das Regal,shelf
Teppich; der Teppich,carpet; rug
Spiegel; der Spiegel,mirror
Kissen; das Kissen,pillow; cushion
Decke; die Decke,blanket; ceiling
Handtuch; das Handtuch,towel
Seife; die Seife,soap
Herd; der Herd,stove; cooker
Backofen; der Backofen,oven
Mikrowelle; die Mikrowelle,microwave
Waschmaschine; die Waschmaschine,washing machine
Topf; der Topf,pot
Pfanne; die Pfanne,pan
Schüssel; die Schüssel,bowl
Werkzeug; das Werkzeug,tool
Schere; die Schere,scissors
Batterie; die Batterie,battery
Kerze; die Kerze,candle
Wecker; der Wecker,alarm clock
Haushalt; der Haushalt,household
Dorf; das Dorf,village
Hauptstadt; die Hauptstadt,capital city
Zentrum; das Zentrum,centre; downtown
Gegend; die Gegend,area; region
Ecke; die Ecke,corner
Brücke; die Brücke,bridge
Ampel; die Ampel,traffic light
Rathaus; das Rathaus,town hall
Bibliothek; die Bibliothek,library
Museum; das Museum,museum
Theater; das Theater,theatre
Schwimmbad; das Schwimmbad,swimming pool
Feuerwehr; die Feuerwehr,fire brigade
Ort; der Ort,place; location
Verkehr; der Verkehr,traffic
Autobahn; die Autobahn,motorway; highway
Führerschein; der Führerschein,driving licence
Motor; der Motor,engine; motor
Reifen; der Reifen,tyre
Benzin; das Benzin,petrol; gasoline
Unfall; der Unfall,accident
Stau; der Stau,traffic jam
Motorrad; das Motorrad,motorbike
Lastwagen; der Lastwagen,lorry; truck
Gleis; das Gleis,platform; track
Abfahrt; die Abfahrt,departure
Ankunft; die Ankunft,arrival
Verspätung; die Verspätung,delay
Fahrplan; der Fahrplan,timetable
Gepäck; das Gepäck,luggage
Rucksack; der Rucksack,backpack
Unterkunft; die Unterkunft,accommodation
Aussicht; die Aussicht,view
Sehenswürdigkeit; die Sehenswürdigkeit,sight; attraction
Ausflug; der Ausflug,excursion; day trip
Ziel; das Ziel,destination; goal
Richtung; die Richtung,direction
Entfernung; die Entfernung,distance
Firma; die Firma,company; firm
Abteilung; die Abteilung,department
Stelle; die Stelle,position; job; spot
Bewerbung; die Bewerbung,application
Lebenslauf; der Lebenslauf,CV; resume
Vertrag; der Vertrag,contract
Gehalt; das Gehalt,salary
Steuer; die Steuer,tax
Kunde; der Kunde,customer (male)
Kundin; die Kundin,customer (female)
Pause; die Pause,break
Feierabend; der Feierabend,end of workday
Fabrik; die Fabrik,factory
Maschine; die Maschine,machine
Projekt; das Projekt,project
Aufgabe; die Aufgabe,task
Erfolg; der Erfolg,success
Anwalt; der Anwalt,lawyer
Rechtsanwalt; der Rechtsanwalt,attorney
Sekretärin; die Sekretärin,secretary (female)
Künstler; der Künstler,artist
Musiker; der Musiker,musician
Schauspieler; der Schauspieler,actor
Soldat; der Soldat,soldier
Ausbildung; die Ausbildung,training; education
Bildung; die Bildung,education
Prüfung; die Prüfung,exam
Note; die Note,grade; mark
Hausaufgabe; die Hausaufgabe,homework
Unterricht; der Unterricht,lessons; class
Fach; das Fach,subject; compartment
Mathematik; die Mathematik,mathematics
Geschichte; die Geschichte,history; story
Physik; die Physik,physics
Biologie; die Biologie,biology
Kurs; der Kurs,course
Wörterbuch; das Wörterbuch,dictionary
Regel; die Regel,rule
Beispiel; das Beispiel,example
Fehler; der Fehler,mistake; error
Übung; die Übung,exercise
Thema; das Thema,topic; theme
Text; der Text,text
Seite; die Seite,page; side
Nachricht; die Nachricht,message; news
Zeitung; die Zeitung,newspaper
Zeitschrift; die Zeitschrift,magazine
Bericht; der Bericht,report
Werbung; die Werbung,advertising
Fernsehen; das Fernsehen,television (medium)
Datei; die Datei,file
Programm; das Programm,programme; program
Passwort; das Passwort,password
Konto; das Konto,account
Adresse; die Adresse,address
Nummer; die Nummer,number
Anruf; der Anruf,phone call
Verbindung; die Verbindung,connection
Gespräch; das Gespräch,conversation
Wirtschaft; die Wirtschaft,economy
Rabatt; der Rabatt,discount
Angebot; das Angebot,offer
Quittung; die Quittung,receipt
Verkauf; der Verkauf,sale
Einkauf; der Einkauf,shopping; purchase
Ware; die Ware,goods; product
Produkt; das Produkt,product
Marke; die Marke,brand
Qualität; die Qualität,quality
Menge; die Menge,amount; quantity
Gewicht; das Gewicht,weight
Liter; der Liter,litre
Meter; der Meter,metre
Kilometer; der Kilometer,kilometre
Geldautomat; der Geldautomat,cash machine; ATM
Umwelt; die Umwelt,environment
Klima; das Klima,climate
Erde; die Erde,earth; soil
Insel; die Insel,island
Feld; das Feld,field
Wiese; die Wiese,meadow
Blatt; das Blatt,leaf; sheet
Pflanze; die Pflanze,plant
Gewitter; das Gewitter,thunderstorm
Blitz; der Blitz,lightning
Grad; der Grad,degree
Schatten; der Schatten,shade; shadow
Energie; die Energie,energy
Strom; der Strom,electricity; current
Gas; das Gas,gas
Löwe; der Löwe,lion
Spinne; die Spinne,spider
Biene; die Biene,bee
Moment; der Moment,moment
Sekunde; die Sekunde,second
Vergangenheit; die Vergangenheit,past
Gegenwart; die Gegenwart,present
Zukunft; die Zukunft,future
Anfang; der Anfang,beginning
Ende; das Ende,end
Mitte; die Mitte,middle
Feiertag; der Feiertag,public holiday
Geburtstag; der Geburtstag,birthday
Datum; das Datum,date
Jahreszeit; die Jahreszeit,season
übermorgen,day after tomorrow
gerade,just now; straight
damals,back then
endlich,finally; at last
plötzlich,suddenly
zuerst,first; at first
zuletzt,lastly; last
schließlich,finally; after all
inzwischen,meanwhile
regelmäßig,regularly
normalerweise,usually
meistens,mostly
selten,rarely
Staat; der Staat,state
Regierung; die Regierung,government
Politik; die Politik,politics
Politiker; der Politiker,politician
Präsident; der Präsident,president
Wahl; die Wahl,election; choice
Gesetz; das Gesetz,law
Freiheit; die Freiheit,freedom
Frieden; der Frieden,peace
Krieg; der Krieg,war
Gesellschaft; die Gesellschaft,society; company
Bevölkerung; die Bevölkerung,population
Volk; das Volk,people; nation
Grund; der Grund,reason; ground
Ursache; die Ursache,cause
Folge; die Folge,consequence; sequel
Sinn; der Sinn,sense; meaning
Bedeutung; die Bedeutung,meaning
Meinung; die Meinung,opinion
Wahrheit; die Wahrheit,truth
Lüge; die Lüge,lie
Möglichkeit; die Möglichkeit,possibility
Gelegenheit; die Gelegenheit,opportunity
Situation; die Situation,situation
Zustand; der Zustand,condition; state
Vorteil; der Vorteil,advantage
Nachteil; der Nachteil,disadvantage
Unterschied; der Unterschied,difference
Beziehung; die Beziehung,relationship
Kontakt; der Kontakt,contact
Hilfe; die Hilfe,help
Rat; der Rat,advice
Tipp; der Tipp,tip; hint
Plan; der Plan,plan
Entscheidung; die Entscheidung,decision
Freizeit; die Freizeit,free time
Hobby; das Hobby,hobby
Mannschaft; die Mannschaft,team
Wettkampf; der Wettkampf,competition
Sieg; der Sieg,victory
Tor; das Tor,goal; gate
Tennis; das Tennis,tennis
Basketball; der Basketball,basketball
Konzert; das Konzert,concert
Foto; das Foto,photo
Kamera; die Kamera,camera
Lied; das Lied,song
Party; die Party,party
Hochzeit; die Hochzeit,wedding
Weihnachten; das Weihnachten,Christmas
Ostern; das Ostern,Easter
Ding; das Ding,thing
Holz; das Holz,wood
Metall; das Metall,metal
Zahl; die Zahl,number
Hälfte; die Hälfte,half
Teil; der Teil,part
Rest; der Rest,rest; remainder
Brief; der Brief,letter
Liste; die Liste,list
Formular; das Formular,form
Ausweis; der Ausweis,ID card
verlieren,to lose
gewinnen,to win
vergleichen,to compare
verbessern,to improve
verändern,to change
ändern,to alter; to change
wechseln,to switch; to change
wiederholen,to repeat
erklären,to explain
beschreiben,to describe
erzählen,to tell; to narrate
berichten,to report
melden,to report; to notify
anmelden,to register; to sign up
abmelden,to deregister; to log out
buchen,to book
bestellen,to order
reservieren,to reserve
mieten,to rent
vermieten,to let; to rent out
leihen,to lend; to borrow
ausleihen,to borrow; to lend out
schenken,to give (a gift)
gehören,to belong
passen,to fit; to suit
anprobieren,to try on
anziehen,to put on; to dress
ausziehen,to take off; to move out
umziehen,to move house
einkaufen,to go shopping
ausgeben,to spend
sparen,to save
verdienen,to earn
sich kümmern,to take care of
sich freuen,to be glad
sich fühlen,to feel
sich setzen,to sit down
sich beeilen,to hurry
sich unterhalten,to chat; to converse
sich streiten,to argue
sich verlieben,to fall in love
sich interessieren,to be interested
sich ärgern,to get annoyed
sich entschuldigen,to apologize
sich ausruhen,to rest
sich verletzen,to injure oneself
sich erkälten,to catch a cold
wehtun,to hurt
untersuchen,to examine
behandeln,to treat
heilen,to heal
wachsen,to grow
steigen,to climb; to rise
sinken,to sink; to fall
fließen,to flow
brennen,to burn
scheinen,to shine; to seem
werfen,to throw
fangen,to catch
ziehen,to pull
drücken,to push; to press
heben,to lift
legen,to lay; to put
stellen,to place; to put
hängen,to hang
stecken,to put; to stick
reparieren,to repair
bauen,to build
schneiden,to cut
zählen,to count
rechnen,to calculate
unterschreiben,to sign
ausfüllen,to fill in
drucken,to print
kopieren,to copy
speichern,to save (a file)
löschen,to delete; to extinguish
klicken,to click
herunterladen,to download
einschalten,to switch on
ausschalten,to switch off
funktionieren,to work; to function
probieren,to try; to taste
schmecken,to taste
riechen,to smell
küssen,to kiss
grüßen,to greet
begrüßen,to welcome; to greet
danken,to thank
gratulieren,to congratulate
wünschen,to wish
hoffen,to hope
bitten,to ask for; to request
empfehlen,to recommend
versprechen,to promise
wählen,to choose; to vote; to dial
vorschlagen,to suggest
planen,to plan
organisieren,to organize
vorbereiten,to prepare
teilnehmen,to participate
mitbringen,to bring along
abholen,to pick up
verlassen,to leave
erreichen,to reach
verpassen,to miss
umsteigen,to change (trains)
aussteigen,to get off
einsteigen,to get on; to board
abfahren,to depart
parken,to park
führen,to lead
feiern,to celebrate
klettern,to climb
wandern,to hike
trainieren,to train; to work out
malen,to paint
zeichnen,to draw
fotografieren,to take photos
vorstellen,to introduce; to imagine
bedeuten,to mean
übersetzen,to translate
prüfen,to check; to test
bestehen,to pass; to consist
üben,to practise
merken,to notice; to memorize
entdecken,to discover
entwickeln,to develop
verwenden,to use; to apply
teilen,to share; to divide
aufräumen,to tidy up
schützen,to protect
retten,to rescue
kämpfen,to fight
lügen,to lie (tell untruth)
stören,to disturb
ärgern,to annoy
überraschen,to surprise
genießen,to enjoy
passieren,to happen
stattfinden,to take place
dauern,to last; to take (time)
verbringen,to spend (time)
beenden,to finish; to end
fehlen,to be missing; to lack
reichen,to be enough; to pass
verbinden,to connect
trennen,to separate
mischen,to mix
klingeln,to ring
lächeln,to smile
zurückkommen,to come back
nachdenken,to think about; to ponder
überlegen,to consider; to think over
meinen,to think; to mean
erwarten,to expect
erkennen,to recognize
aufpassen,to pay attention; to watch out
sich konzentrieren,to concentrate
sich bewegen,to move
schreien,to scream; to shout
breit,wide; broad
eng,tight; narrow
weit,far; wide
tief,deep
weich,soft
hart,hard
locker,loose; relaxed
trocken,dry
nass,wet
feucht,damp; moist
ordentlich,tidy; proper
modern,modern
praktisch,practical
bequem,comfortable
nützlich,useful
notwendig,necessary
wertvoll,valuable
kostenlos,free of charge
gefährlich,dangerous
sicher,safe; sure
wahr,true
klar,clear
deutlich,clear; distinct
genau,exact; precise
ungefähr,approximate; roughly
normal,normal
besonders,especially; special
gewöhnlich,usual; ordinary
ähnlich,similar
aufmerksam,attentive
aktiv,active
sportlich,sporty; athletic
kreativ,creative
perfekt,perfect
prima,great; excellent
toll,great; fantastic
furchtbar,terrible
schrecklich,dreadful; awful
angenehm,pleasant
unangenehm,unpleasant
wunderbar,wonderful
einzig,only; sole
mehrere,several
beide,both
bestimmt,certain; definitely
privat,private
öffentlich,public
fremd,strange; foreign
nah,near; close
mittel,medium
verboten,forbidden
erlaubt,allowed
geschlossen,closed
kaputt,broken
beschäftigt,busy; occupied
verheiratet,married
überall,everywhere
irgendwo,somewhere
irgendwie,somehow
irgendwann,sometime
geradeaus,straight ahead
vorne,at the front
hinten,at the back
drinnen,indoors; inside
mitten,in the middle
zurück,back
gegenüber,opposite; across
außerdem,besides; furthermore
übrigens,by the way
sogar,even
völlig,completely
total,totally
ziemlich,quite; fairly
kaum,hardly
beinahe,almost
mindestens,at least
eigentlich,actually
wahrscheinlich,probably
hoffentlich,hopefully
sonst,otherwise; else
erst,only; not until
unbedingt,absolutely; definitely
lieber,rather; preferably
am liebsten,most of all
trotz,despite
außer,except; besides
ab,from; as of
sowohl,both; as well as
weder,neither
entweder,either
jedoch,however
falls,in case; if
bevor,before
nachdem,after
kein Problem,no problem
zum Beispiel,for example
auf jeden Fall,in any case
auf keinen Fall,no way; by no means
zum Glück,luckily
es tut mir leid,I am sorry
Gute Besserung,get well soon
herzlichen Glückwunsch,congratulations
guten Appetit,enjoy your meal
keine Ahnung,no idea
meiner Meinung nach,in my opinion
vor allem,above all
ab und zu,now and then
