Japanese,Kana,English
サイクル,サイクル,cycle
採決,さいけつ,vote; roll call
再建,さいけん,(temple or shrine) rebuilding
再現,さいげん,reproduction; return; revival
財源,ざいげん,source of funds; resources; finances
在庫,ざいこ,stockpile; stock
採算,さいさん,profit
サイズ,サイズ,size
再生,さいせい,playback; regeneration; resuscitation
財政,ざいせい,economy; financial affairs
最善,さいぜん,the very best
採択,さいたく,adoption; selection; choice
栽培,さいばい,cultivation
再発,さいはつ,return; relapse; reoccurrence
細胞,さいぼう,cell
採用,さいよう,use; adopt
遮る,さえぎる,to interrupt; to intercept; to obstruct
さえずる,さえずる,to sing; to chirp; to twitter
冴える,さえる,to be clear; to be bright; to be skillful
竿,さお,rod; pole (e.g. for drying laundry)
栄える,さかえる,to flourish; to prosper; to thrive
差額,さがく,balance; difference; margin
杯,さかずき,wine cup
逆立ち,さかだち,handstand; headstand
さきに (いぜん),さきに (いぜん),before; earlier than; previously
詐欺,さぎ,fraud; swindle
削減,さくげん,cut; reduction
錯誤,さくご,mistake
作戦,さくせん,military operations; tactics; strategy
叫び,さけび,shout; scream; outcry
捧げる,ささげる,to lift up; to give; to offer
差し掛かる,さしかかる,to come near to; to approach
指図,さしず,instruction; mandate
差し出す,さしだす,to present; to submit; to hold out
差し支える,さしつかえる,to interfere; to hinder
授ける,さずける,to grant; to award; to teach
摩する,さする,to rub; to stroke
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),I am sure; certainly; no doubt
定まる,さだまる,to become settled; to be fixed
定める,さだめる,to decide; to determine
座談会,ざだんかい,symposium; round-table discussion
雑,ざつ,rough; crude
雑貨,ざっか,miscellaneous goods; general goods
殺人,さつじん,murder
察する,さっする,to guess; to sense; to judge
雑談,ざつだん,chatting; idle talk
さっと,さっと,suddenly; smoothly
さっぱりする,さっぱりする,to refresh
悟る,さとる,to attain enlightenment; to understand
最中,さなか,in the middle of; midst
座標,ざひょう,coordinates
さほど,さほど,not so; not that much
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time
様,さま,state; way (a person does something); Mr. or Mrs.
寒気,さむけ,chill; shiver; cold
侍,さむらい,samurai
さも,さも,with gusto; with satisfaction
作用,さよう,operation; effect; function
さらう (こどもを～),さらう (こどもを～),to kidnap
障る,さわる,to hinder; to interfere with; to affect
酸,さん,acid
山岳,さんがく,mountains
参議院,さんぎいん,House of Councilors
産休,さんきゅう,maternity leave
サンキュー,サンキュー,thank you
残金,ざんきん,remaining money
産後,さんご,postpartum; after childbirth
残酷,ざんこく,cruelty; harshness
産出,さんしゅつ,yield; produce
参照,さんしょう,reference; consultation; consultation
参上,さんじょう,calling on; visiting
残高,ざんだか,(bank) balance; remainder
サンタクロース,サンタクロース,Santa Claus
桟橋,さんばし,wharf; jetty; pier
賛美,さんび,praise; adoration; glorification
山腹,さんぷく,hillside; mountainside
産婦人科,さんふじんか,maternity and gynecology department
産物,さんぶつ,product; result; fruit
山脈,さんみゃく,mountain range
仕上がり,しあがり,finish; end; completion
仕上,しあげ,end; finishing touches
仕上げる,しあげる,to finish up; to complete
飼育,しいく,breeding; raising; rearing
強いて,しいて,to dare; to insist
シート,シート,seat; sheet
ジーパン,ジーパン,jeans
仕入れる,しいれる,to lay in stock; to replenish stock; to procure
強いる,しいる,to force; to compel; to coerce
潮,しお,tide
歯科,しか,dentistry
自我,じが,self; ego
自覚,じかく,self-conscious
仕掛,しかけ,device; trick; mechanism
仕掛ける,しかける,to lay; to set; to wage
しかしながら,しかしながら,however; nevertheless
色彩,しきさい,color
式場,しきじょう,ceremonial hall; place of ceremony (e.g. marriage)
しきたり,しきたり,custom; conventional practice; tradition
事業,じぎょう,project; enterprise; business
軽蔑,けいべつ,scorn; disdain
経歴,けいれき,personal history; career
経路,けいろ,course; route; channel
けがらわしい,けがらわしい,filthy; unfair
劇団,げきだん,troupe; theatrical company
激励,げきれい,encouragement
ゲスト,ゲスト,guest
獣,けだもの,beast; brute
決,けつ,decision; vote
決意,けつい,decision; determination
結核,けっかく,tuberculosis
決議,けつぎ,resolution; vote; decision
結合,けつごう,combination; union
決算,けっさん,balance sheet; settlement of accounts
月謝,げっしゃ,monthly tuition fee
決勝,けっしょう,finals (in sports)
結晶,けっしょう,crystal; crystallization
結成,けっせい,formation
結束,けっそく,union; unity
げっそり,げっそり,being disheartened; losing weight
決断,けつだん,decision; determination
月賦,げっぷ,monthly installment
欠乏,けつぼう,shortage
蹴飛ばす,けとばす,to kick away; to kick (someone)
けなす,けなす,to speak ill of
煙たい,けむたい,smoky; feeling awkward
煙る,けむる,to smoke (e.g. fire)
獣,けもの,beast; brute
家来,けらい,retainer; retinue; servant
下痢,げり,diarrhea
権威,けんい,authority; power; influence
兼業,けんぎょう,holding two jobs at the same time
原形,げんけい,original form; base form
原型,げんけい,prototype; model; archetypal
権限,けんげん,power; authority; jurisdiction
現行,げんこう,present; current; in operation
健在,けんざい,in good health; well
原作,げんさく,original work
検事,けんじ,public prosecutor
原子,げんし,atom
元首,げんしゅ,ruler; sovereign
原書,げんしょ,original document
懸賞,けんしょう,offering prizes; winning; reward
健全,けんぜん,health; soundness; wholesome
元素,げんそ,element
同調,どうちょう,sympathy; agree with; alignment
到底,とうてい,(cannot) possibly
動的,どうてき,dynamic; kinetic
尊い,とうとい,precious; valuable; noble
貴い,とうとい,precious; valuable; noble
同等,どうとう,equality; equal; same rank
堂々,どうどう,magnificent; grand; impressive
尊ぶ,とうとぶ,to value; to prize; to esteem
どうにか,どうにか,in some way or other; one way or another
投入,とうにゅう,throw; investment; making (an electrical circuit)
導入,どうにゅう,introduction; bringing in; leading in
当人,とうにん,the one concerned; the said person
同封,どうふう,enclosure (e.g. in a letter)
逃亡,とうぼう,escape
冬眠,とうみん,hibernation; winter sleep
同盟,どうめい,alliance; union; league
どうやら,どうやら,it seems like; somehow or other
動力,どうりょく,power; motive power; dynamic force
登録,とうろく,registration; register; record
討論,とうろん,discussion; debate
遠ざかる,とおざかる,to go far off
遠回り,とおまわり,detour; roundabout way
トーン,トーン,tone
とかく,とかく,anyhow; anyway; in any case
とがめる,とがめる,to blame; to rebuke
時折,ときおり,sometimes
とぎれる,とぎれる,to pause; to be interrupted
研ぐ,とぐ,to sharpen; to grind; to polish
特技,とくぎ,special talent; skill
独裁,どくさい,dictatorship; despotism
特産,とくさん,specialty; special product
独自,どくじ,original; peculiar; characteristic
特集,とくしゅう,feature (e.g. newspaper special edition report)
独占,どくせん,monopoly
独創,どくそう,originality
得点,とくてん,score; points made
特派,とくは,send specially; special envoy
特有,とくゆう,characteristic (of peculiar (to))
とげ (をさす),とげ (をさす),thorn
遂げる,とげる,to accomplish; to achieve; to carry out
～どころか,～どころか,rather; far from
年頃,としごろ,age; marriageable age; adolescence
戸締り,とじまり,closing up; locking the doors
途上,とじょう,en/in route; half way
土台,どだい,foundation; base; basis
途絶える,とだえる,to stop; to cease; to come to an end
特許,とっきょ,special permission; patent
特権,とっけん,privilege; special right
とっさに,とっさに,at once
突如,とつじょ,suddenly; all of a sudden
とって,とって,handle; grip; knob
突破,とっぱ,breaking through; breakthrough; penetration
土手,どて,embankment; bank
届,とどけ,report; notification; registration
滞る,とどこおる,to stagnate; to be delayed
整える,ととのえる,to put in order; to arrange; to adjust; to get ready; to prepare; to raise money
止める,とどめる,to end; to stop; to cease; to resign
唱える,となえる,to recite; to chant; to call upon
殿様,とのさま,feudal lord
土俵,どひょう,arena
扉,とびら,door; opening
溝,どぶ,ditch; drain; gap
徒歩,とほ,walking; going on foot
土木,どぼく,public works
とぼける,とぼける,to play dumb; to feign ignorance; to play innocent; to have a blank facial expression; to play the fool; to be in one's dotage
乏しい,とぼしい,meager; scarce; hard up; poor
富,とみ,wealth; fortune
富む,とむ,to be rich; to become rich
共稼ぎ,ともかせぎ,working together; (husband and wife) earning a living together
伴う,ともなう,to accompany; to bring with
共働き,ともばたらき,dual income (husband and wife both working)
ドライ,ドライ,dry
ドライクリーニング,ドライクリーニング,dry cleaning
ドライバー,ドライバー,driver; screwdriver
ドライブイン,ドライブイン,drive in
トラブル,トラブル,trouble (sometimes used as a verb)
トランジスター,トランジスター,transistor
とりあえず,とりあえず,at once; first of all; for the time being
取扱,とりあつかい,treatment; handling; management
取り扱う,とりあつかう,to treat; to handle; to deal in
鳥居,とりい,Shinto shrine archway
取り替え,とりかえ,swap; exchange
取り組む,とりくむ,to tackle; to engage in a bout; to come to grips with
取締り,とりしまり,control; crackdown; supervision
取り締まる,とりしまる,to crack down; to control; to supervise
取り調べる,とりしらべる,to investigate; to examine
取り立てる,とりたてる,to collect; to extort
取り次ぐ,とりつぐ,to act as an agent for; to announce (someone); to convey (a message)
取り付ける,とりつける,to furnish; to install; to get someone's agreement
取り除く,とりのぞく,to remove; to take away; to set apart
取引,とりひき,transactions; dealings; business
取り巻く,とりまく,to surround; to circle; to enclose
取り混ぜる,とりまぜる,to mix; to put together
取り戻す,とりもどす,to take back; to regain
取り寄せる,とりよせる,to order; to send away for
ドリル,ドリル,drill
取り分け,とりわけ,especially; above all
とろける,とろける,melt; to be enchanted with
鈍感,どんかん,thickheadedness; stolidity
とんだ,とんだ,terrible; awful; serious; absolutely not
度忘れ,どわすれ,lapse of memory; forget for a moment
問屋,とんや,wholesale store
内閣,ないかく,cabinet; (government)
乃至,ないし,from...to; between...and; or
内緒,ないしょ,secrecy; privacy; secret
内心,ないしん,innermost thoughts; real intention; inmost heart
内蔵,ないぞう,internal organ; built-in
ナイター,ナイター,game under lights (e.g. baseball); night game
内部,ないぶ,interior; inside; internal
内乱,ないらん,civil war; domestic conflict
内陸,ないりく,inland
苗,なえ,rice seedling
なおさら,なおさら,all the more; still less
流し,ながし,sink
長々,ながなが,long; drawn-out; very long
中程,なかほど,middle; midway
渚,なぎさ,water's edge; beach; shore
嘆く,なげく,to sigh; to lament; to grieve
投げ出す,なげだす,to abandon; to throw out
仲人,なこうど,go-between; matchmaker
和やか,なごやか,mild; calm; harmonious
名残,なごり,remains; traces; memory
情け,なさけ,sympathy; compassion
情無い,なさけない,miserable; pitiable; shameful
情深い,なさけぶかい,tender-hearted; compassionate
詰る,なじる,to rebuke; to scold; to tell off
名高い,なだかい,famous; celebrated; well-known
雪崩,なだれ,avalanche
懐く,なつく,to become emotionally attached
名付ける,なづける,to name
何気ない,なにげない,casual; unconcerned
なにとぞ,なにとぞ,please; kindly; by all means
なにより,なにより,most; best
ナプキン,ナプキン,napkin
名札,なふだ,name plate; name tag
生臭い,なまぐさい,smelling of fish or blood; fish or meat
生温い,なまぬるい,lukewarm; halfhearted
生身,なまみ,living flesh; flesh and blood; the quick
鉛,なまり,lead (the metal)
滑らか,なめらか,smoothness; glassiness
嘗める,なめる,to lick; to experience; to make fun of
悩ましい,なやましい,seductive; melancholy; languid
悩ます,なやます,to bother; to harass; to molest
悩み,なやみ,trouble(s); worry; distress
並びに,ならびに,and
成り立つ,なりたつ,to consist of; to be practical (logical feasible viable); to be concluded; to hold true
なるたけ,なるたけ,as much as possible; if possible
慣れ,なれ,practice; experience
馴々しい,なれなれしい,familiar; make free with
～なんか,～なんか,in the least ~
ナンセンス,ナンセンス,nonsense
何だか,なんだか,a little; somewhat; somehow
なんだかんだ,なんだかんだ,something or other
なんなり,なんなり,anything; whatever
荷,に,load; baggage; cargo
似通う,にかよう,to resemble closely
にきび,にきび,pimple; acne
賑わう,にぎわう,to prosper; to flourish; to be crowded with people
憎しみ,にくしみ,hatred
肉親,にくしん,blood relationship; blood relative
肉体,にくたい,the body; the flesh
逃げ出す,にげだす,to run away; to escape from
西日,にしび,westering sun
滲む,にじむ,to run; to blur; to spread
にせ物,にせもの,imitation; counterfeit
日夜,にちや,day and night; always
荷造り,にづくり,packing; baling; crating
担う,になう,to carry on shoulder; to bear (burden); to shoulder (gun)
鈍る,にぶる,to become less capable; to grow dull; to become blunt; to weaken
にも関わらず,にもかかわらず,in spite of; nevertheless
ニュアンス,ニュアンス,nuance
ニュー,ニュー,new
入手,にゅうしゅ,obtaining; coming to hand
入賞,にゅうしょう,winning a prize or place (in a contest
入浴,にゅうよく,bathe; bathing
尿,にょう,urine
認識,にんしき,recognition; cognizance
妊娠,にんしん,conception; pregnancy
任務,にんむ,duty; mission; task
任命,にんめい,appointment; nomination; ordination
抜かす,ぬかす,to omit; to leave out
抜け出す,ぬけだす,to slip out; to sneak away; to excel
主,ぬし,owner; master; god
沼,ぬま,swamp; bog; pond
音色,ねいろ,tone color; timbre
値打ち,ねうち,value; worth; price
ネガ,ネガ,(photographic) negative
寝かせる,ねかせる,to put to bed; to lay down; to ferment
ねじまわし,ねじまわし,screwdriver
捩れる,ねじれる,twist; strain
妬む,ねたむ,to be jealous; to be envious
ねだる,ねだる,to nag; to demand
熱意,ねつい,zeal; enthusiasm
熱湯,ねっとう,boiling water
熱量,ねつりょう,calorific value
粘り,ねばり,stickiness; viscosity
粘る,ねばる,to be sticky; to be adhesive; to persist; to stick to
値引き,ねびき,price reduction; discount
根回し,ねまわし,making necessary arrangements
眠たい,ねむたい,sleepy
練る,ねる,to knead; to work over; to polish up
念,ねん,sense; feeling; desire
年賀,ねんが,New Year's greetings; New Year's card
念願,ねんがん,one's heart's desire; earnest petition
年号,ねんごう,name of an era; year number
燃焼,ねんしょう,burning; combustion
年長,ねんちょう,seniority
燃料,ねんりょう,fuel
年輪,ねんりん,annual tree ring
ノイローゼ,ノイローゼ,neurosis (GER: Neurose)
農耕,のうこう,farming; agriculture
農場,のうじょう,farm
農地,のうち,agricultural land
納入,のうにゅう,payment; supply
逃す,のがす,to let loose; to set free; to let escape
逃れる,のがれる,to escape
軒並,のきなみ,row of houses; uniformly
望ましい,のぞましい,desirable; hoped for
乗っ取る,のっとる,to capture; to occupy; to take over
のどか,のどか,tranquil; calm; quiet
罵る,ののしる,to speak ill of; to abuse
延べ,のべ,futures; credit (buying); stretching; total
飲み込む,のみこむ,to gulp down; to swallow deeply; to understand
乗り込む,のりこむ,to board; to get into (a car); to march into; to enter
刃,は,blade; sword
～派,～は,group; party; section (mil)
バー,バー,bar
把握,はあく,grasp; catch; understanding
パート,パート,part-time job
廃棄,はいき,disposal; abandon; discarding
配給,はいきゅう,distribution (e.g. films rice
ばい菌,ばいきん,bacteria; germ(s)
配偶者,はいぐうしゃ,spouse
拝啓,はいけい,-- a formal greeting used at the beginning of a letter --
背景,はいけい,background; scenery; setting
背後,はいご,back; rear
廃止,はいし,abolition; repeal
拝借,はいしゃく,(humble) (polite) borrowing
排除,はいじょ,exclusion; removal; rejection
賠償,ばいしょう,reparations; indemnity; compensation
排水,はいすい,drainage
敗戦,はいせん,defeat; losing a war
配置,はいち,arrangement (of resources); disposition
配布,はいふ,distribution
配分,はいぶん,distribution; allotment
敗北,はいぼく,defeat (as a verb it means 'to be defeated')
倍率,ばいりつ,magnification; magnifying power; ratio
配慮,はいりょ,consideration; concern; forethought
配列,はいれつ,arrangement; array (programming)
破壊,はかい,destruction
いたわる,いたわる,to sympathize with; to console; to care for
一概に,いちがいに,unconditionally; necessarily
著しい,いちじるしい,remarkable; considerable
一同,いちどう,all present; all concerned; all of us
一部分,いちぶぶん,a part; a portion
一別,いちべつ,parting
一面,いちめん,one side; the other hand
一目,いちもく,a glance; a look; a glimpse
一様,いちよう,uniform; similar; equal
一律,いちりつ,even; uniform; equal
一連,いちれん,a series; a chain; a ream (of paper)
一括,いっかつ,all together; batch
一気,いっき,at one push; in one gulp
一挙に,いっきょに,at a stroke; with a single swoop
一見,いっけん,a look; a glimpse; glance; first meeting
一切,いっさい,without exception; the whole
一心,いっしん,one mind; with rapt attention
いっそ,いっそ,rather; sooner; might as well
一変,いっぺん,complete change
意図,いと,intention; aim; design
営む,いとなむ,to carry on (e.g. in ceremony); to run a business
挑む,いどむ,to challenge
稲光,いなびかり,(flash of) lightning
祈り,いのり,prayer; supplication
いびき,いびき,snoring
今更,いまさら,now; again
未だ,いまだ,yet; still
移民,いみん,emigrant; immigrant
嫌々,いやいや,reluctantly; by no means; unwillingly
卑しい,いやしい,greedy; vulgar; shabby
いやに,いやに,awfully; terribly
いやらしい,いやらしい,unpleasant; disgusting; indecent
意欲,いよく,will; desire; ambition
威力,いりょく,power; might; authority
衣類,いるい,clothes; clothing; garments
異論,いろん,different opinion; objection
印鑑,いんかん,stamp; seal
陰気,いんき,gloom; melancholy
隠居,いんきょ,retirement; retired person
インターチェンジ,インターチェンジ,interchange
インターナショナル,インターナショナル,international
インターフォン,インターフォン,entry phone; intercom
インテリ,インテリ,(abbr.) egghead; intelligentsia
インフォメーション,インフォメーション,information
インフレ,インフレ,(abbr.) inflation
受かる,うかる,to pass (examination)
受け入れ,うけいれ,receiving; acceptance
受け入れる,うけいれる,to accept; to receive
受け継ぐ,うけつぐ,to inherit; to succeed
受け付ける,うけつける,to be accepted; to receive (an application)
受け止める,うけとめる,to catch; to react to; to take
受身,うけみ,passive; passive voice
受持ち,うけもち,charge (of something); matter in one's charge
動き,うごき,movement; activity; trend
埋める,うずめる,to bury; to fill
嘘つき,うそつき,liar
うたた寝,うたたね,dozing; napping
打ち明ける,うちあける,to confess; to be open
打ち切る,うちきる,to stop; to abort; to discontinue; to close
打ち消し,うちけし,(gram) negation; denial; negative
打ち込む,うちこむ,to devote oneself to; to shoot into
団扇,うちわ,fan
内訳,うちわけ,the items; breakdown; classification
写し,うつし,copy; duplicate
訴え,うったえ,lawsuit; complaint
うっとうしい,うっとうしい,weary; annoying
うつむく,うつむく,to look downward; to stoop
空ろ,うつろ,blank; hollow; empty
器,うつわ,bowl; vessel; container
腕前,うでまえ,ability; skill; facility
雨天,うてん,rainy weather
促す,うながす,to urge; to suggest; to demand
うぬぼれ,うぬぼれ,pretension; conceit; hubris
生まれつき,うまれつき,by nature; by birth; native
埋め込む,うめこむ,to embed; implant
梅干し,うめぼし,dried plum
裏返し,うらがえし,inside out; reverse
売り出し,うりだし,(bargain) sale
売り出す,うりだす,to put on sale; to market
潤う,うるおう,to be moist; to profit by
浮気,うわき,affair; to cheat
上回る,うわまわる,to exceed
植わる,うわる,to be planted
運営,うんえい,management; administration; operation
うんざり,うんざり,tedious; boring; being fed up with
運送,うんそう,shipping; freight
運賃,うんちん,freight rates; shipping expenses; (passenger) fare
云々,うんぬん,and so on; and so forth
運搬,うんぱん,transport; carriage
運命,うんめい,fate
運輸,うんゆ,transportation
運用,うんよう,making use of; application; practical use
エアメール,エアメール,air mail
～営,～えい,~ run
英字,えいじ,English letter (character)
映写,えいしゃ,projection
映像,えいぞう,reflection; image
英雄,えいゆう,hero; great man
液,えき,liquid; fluid
閲覧,えつらん,inspection; reference; browse
獲物,えもの,game; spoils; trophy
襟,えり,neck; collar
エレガント,エレガント,elegant
円滑,えんかつ,harmony; smoothness
縁側,えんがわ,veranda; porch; balcony; open corridor
沿岸,えんがん,coast; shore
婉曲,えんきょく,euphemistic; indirect; insinuating
演出,えんしゅつ,production (erg. play direction)
エンジニア,エンジニア,engineer
演じる,えんじる,to perform; to play (a part); to act
演ずる,えんずる,to perform; to play (a part); to act
沿線,えんせん,along railway line
縁談,えんだん,marriage proposal
遠方,えんぽう,long way; distant place
円満,えんまん,harmony; peace; smoothness
追い込む,おいこむ,to herd; to corner; to drive
追い出す,おいだす,to expel; to drive out
於いて,おいて,at; in; on
老いる,おいる,to age; to grow old
応急,おうきゅう,emergency
黄金,おうごん,gold
往診,おうしん,doctor's visit; house call
応募,おうぼ,subscription; application
おおい (かん),おおい (かん),hey
大方,おおかた,almost all; majority
大柄,おおがら,large build; large pattern
おおげさ,おおげさ,grandiose; exaggerated
大筋,おおすじ,outline; summary
大空,おおぞら,heaven; the sky
オートマチック,オートマチック,automatic
大幅,おおはば,full width; large scale; drastic
おおまかな,おおまかな,rough; approximate
大水,おおみず,flood
公,おおやけ,public
犯す,おかす,to perpetrate; to violate
侵す,おかす,to invade; to raid; to trespass
臆病,おくびょう,cowardice; timidity
遅らす,おくらす,to retard; to delay
厳か,おごそか,majestic; dignified
行い,おこない,conduct; behavior; action
おごる (ゆうしょくを～),おごる (ゆうしょくを～),to give (someone) a treat
収まる,おさまる,to settle into; to be obtained
納まる,おさまる,to settle into; to be obtained
治まる,おさまる,to be at peace; to calm down
お産,おさん,(giving) birth
押し切る,おしきる,to have one's own way
押し込む,おしこむ,to push into; to crowd into
惜しむ,おしむ,to be frugal; to value; to regret
押し寄せる,おしよせる,to push aside; to advance on
雄,おす,male (animal)
御世辞,おせじ,flattery; compliment
襲う,おそう,to attack
遅くとも,おそくとも,at the latest
恐れ,おそれ,fear; horror
恐れ入る,おそれいる,to be filled with awe; to feel small
おだてる,おだてる,to flatter
落ち込む,おちこむ,to get depressed
落ち着き,おちつき,calm; composure
落葉,おちば,fallen leaves
乙,おつ,2nd in rank
お使い,おつかい,errand
おっかない,おっかない,frightening; scary
お手上げ,おてあげ,given in; given up hope
おどおど,おどおど,coweringly; hesitantly
脅す,おどす,to threaten; to menace
訪れる,おとずれる,to visit
お供,おとも,attendant; companion
衰える,おとろえる,to become weak; to decline
同い年,おないどし,of the same age
自ずから,おのずから,naturally; as a matter of course
怯える,おびえる,to become frightened
おびただしい,おびただしい,abundantly; innumerably
脅かす,おびやかす,to threaten; to coerce
帯びる,おびる,to bear; to carry; to be entrusted
お袋,おふくろ,mother
覚え,おぼえ,memory; sense; experience
おまけ,おまけ,a discount; something additional
お宮,おみや,Shinto shrine
おむつ,おむつ,diaper; nappy
思い付き,おもいつき,plan; idea; suggestion
趣,おもむき,flavor; appearance; quaint
赴く,おもむく,to go; to proceed
重んじる,おもんじる,to respect; to honor; to esteem; to prize
重んずる,おもんずる,to honor; to respect; to value
親父,おやじ,one's father; old man; one's boss
及び,および,and; as well as
及ぶ,およぶ,to reach; to extend
折,おり,chance; occasion
檻,おり,cage; pen; jail cell
オリエンテーション,オリエンテーション,orientation
折り返す,おりかえす,to turn up; to fold back
織物,おりもの,textile; fabric
俺,おれ,I (ego) (boastful first-person pronoun)
愚か,おろか,foolish; stupid
おろそか,おろそか,neglect; negligence; carelessness
おんぶ,おんぶ,carrying on one's back (erg. Baby)
オンライン,オンライン,on-line
温和,おんわ,gentle; mild; moderate
我,が～,ego
カーペット,カーペット,carpet
～界,～かい,world; circle; kingdom
～街,～がい,town
改悪,かいあく,deterioration; changing for the worse
海運,かいうん,marine transportation
外貨,がいか,foreign money
改革,かいかく,reform; reformation; innovation
貝殻,かいがら,shell
外観,がいかん,appearance; exterior; facade
階級,かいきゅう,class; rank; grade
海峡,かいきょう,channel
