English,Definition
colorful,having many bright shades; lively and interesting
comb,a flat tool with teeth for tidying hair
comfortably,in an easy relaxed way without pain
commerce,the buying and selling of goods on a large scale
commonly,often; in most cases
commute,to travel regularly between home and work
commuter,a person who travels daily between home and work
compact,small and taking little space; pressed tightly together
compartment,a separate closed space inside a container or a train
compatible,able to work well together; suited to each other
compensate,to pay for a loss; to make up for something bad
compile,to collect facts and put them into one list or report
completion,the finishing of a job or process
compliance,obeying rules and official orders
complication,a problem that makes a situation harder
compliment,a polite remark of praise
complimentary,given free of charge; full of praise
comply,to obey a rule or an order
comprehension,the act of understanding what you read or hear
concierge,a hotel worker who helps guests with bookings and information
conditioner,a liquid for softening hair; a machine that cools air
condominium,a flat that you own in a shared building
conductor,a person who leads an orchestra; a worker who checks tickets
confidential,meant to be kept secret from other people
confirmation,proof that something is definitely true or booked
conform,to behave in the way that rules or other people expect
congestion,too much traffic or crowding in one place
congratulate,to tell someone you are pleased about their success
congratulation,good wishes said to someone about their success
consecutive,following one after another without a break
consent,to agree to something; permission that is given
considerably,by a large amount; much more than a little
considerate,thinking about how others feel; kind to people
consignment,a load of goods sent to a shop for sale
consistently,always in the same way; without change over time
consultation,a meeting held to get expert advice or opinions
consumption,the using up of goods or energy; the eating of food
container,a box or bottle for holding things
contestant,a person who takes part in a game show or a race for a prize
continental,relating to a very large area of land such as Europe or Asia
contraction,the act of getting smaller; a short form of two words
contractor,a person or firm hired to do a job for a fixed price
contradict,to say the opposite of what someone else says
contradiction,a statement that goes against another one
contrary,opposite in nature; the reverse of what was said
convenience,the quality of being easy and suiting your needs
convenient,easy to use and suiting your needs and your time
conveniently,in a helpful way that saves time and effort
convey,to carry from one place to another; to make an idea clear
cookbook,a printed guide with instructions for preparing meals
cookie,a small flat sweet cake; a small file stored by a website
cooler,a box that keeps food and drinks cold
cooperate,to work together with others to reach a goal
coordinate,to organize people or parts so they work well together
coordinator,a person who organizes people so a project runs well
copier,a machine that makes paper duplicates of documents
copyright,the legal power to control who may use a creative work
cord,a thick string or an electrical wire
cordless,working without a wire; powered by a battery
correction,a change that makes something right
correctly,in the right way; without mistakes
correspondence,letters and emails sent between people
cosmetic,used to improve how someone looks; only on the surface
costly,expensive; causing a large loss
costume,special clothes worn to look like someone else
counselor,a trained person who gives advice about problems
countryside,land outside towns with fields and farms
coupon,a printed ticket that gives money off a purchase
courier,a person or firm that delivers parcels quickly
courtesy,polite and respectful behavior towards others
coworker,a person who has the same employer as you
crane,a tall machine for lifting heavy loads; a long-legged bird
creativity,the ability to think of new and original ideas
cruise,to travel by ship for pleasure; a holiday trip on a large ship
culinary,relating to cooking and food
cumulative,growing in amount as more is added each time
cushion,a soft bag you sit on or lean against
customize,to change something to fit a person's own needs
daytime,the hours of light between sunrise and sunset
deadline,the latest moment by which a job must be finished
dealership,a business with the right to sell one maker's cars
debit,money taken out of a bank account for a payment
deck,a flat floor area on a ship; a raised wooden floor outside a house
decorate,to make a place look nicer by adding pretty things
decoration,an object added to make a place look attractive
dedication,hard work and loyalty given to a goal; a message honoring someone
deduct,to take an amount away from a total
deduction,an amount taken away from a total; a conclusion reached by reasoning
defect,a fault that makes something not work properly
defective,made with a fault so it does not work as it should
definite,clear and certain; not likely to change
delegate,to give a task to someone else; a person sent to represent a group
delete,to remove text or files from a computer or a document
delicate,easily broken or damaged; needing careful handling
delicious,having a very good taste
deluxe,of high quality and more expensive than usual
demolish,to knock down a building completely
dental,relating to the teeth
dentist,a person whose job is to treat and repair teeth
depart,to leave a place; to start a journey
departmental,relating to one part or section of a large organization
departure,the act of leaving a place
dependable,able to be trusted to do what is needed
dependence,the state of needing someone or something for support
descriptive,giving details about what someone or something is like
designate,to choose someone or something for a purpose; to give a title to
desirable,wanted by many people; worth having
desktop,a computer that sits on a table; the main screen of a computer
desperate,ready to do anything because a situation is very bad
dessert,sweet food eaten at the end of a meal
destination,the place someone or something is going to
detach,to separate one part from another
deteriorate,to become worse in quality or condition
devastate,to destroy a place completely; to shock someone deeply
developer,a person or company that builds houses; someone who writes software
diagnose,to find out what illness or problem someone has
diagnostic,used to find the cause of an illness or a fault
diagram,a simple drawing that explains how something works
dial,to press numbers to make a phone call; a round face with numbers
diamond,a very hard clear stone used in jewelry
dine,to eat dinner; to eat a meal in a restaurant
diner,a small cheap restaurant; a person eating a meal
diploma,an official paper showing you finished a course of study
directory,a list of names and addresses; a folder that holds computer files
disable,to stop something from working; to take away a person's ability
disagreement,a situation where people have different opinions; an argument
disappointment,a sad feeling when something is not as good as you hoped
discard,to throw away something you no longer want
disconnect,to break the link between two things; to unplug a device
discontinue,to stop making or offering something
discrepancy,a difference between two amounts or facts that should match
disgust,a strong feeling that something is very unpleasant or wrong
dishwasher,a machine that cleans plates and cups
dislike,to not enjoy something; a feeling of not wanting something
dispatch,to send someone or something to a place quickly
disposal,the act of getting rid of waste or unwanted things
dispose,to get rid of waste in a proper or official way
disrupt,to stop an activity from continuing in the normal way
disruption,a break in normal activity caused by a problem
dissatisfy,to fail to please someone or meet their hopes
distract,to take someone's attention away from what they are doing
distraction,something that takes attention away from a task
distractor,a wrong answer choice in a test question
distribution,the act of giving or delivering things to many places or people
distributor,a company that supplies goods to shops
dive,to jump into water head first; to drop or fall quickly
dividend,a share of profit paid to people who own part of a company
dock,a place where ships load and unload; to bring a ship to that place
documentary,a film or program about real events
documentation,written papers that give official proof or instructions
donate,to give money or goods to help others
donation,money or goods given to help others
donut,a small round sweet cake with a hole in the middle
doorman,a person at the entrance of a building who helps visitors
dose,a measured amount of medicine taken at one time
download,to copy data from the internet onto your own device
downsize,to reduce the number of workers in a company
downstairs,on or to a lower floor of a building
downtown,the main business area of a city
downturn,a fall in business activity or in the economy
drastically,in a way that is extreme and has a big effect
drawback,a disadvantage of a plan or product
drawer,a box-shaped part of a desk that slides in and out
drill,a tool that makes holes; a repeated practice exercise
drought,a long period with little or no rain
drum,a musical instrument you hit; a large round container
dull,not interesting; not bright in color; not sharp
duplicate,an exact copy of something; to make another one just like it
durable,able to last a long time without breaking
duration,the length of time something continues
dynamic,full of energy and new ideas; always changing
e-book,a digital version of a printed work read on a screen
eager,very keen and excited to do something
earthquake,a sudden violent shaking of the ground
economical,not using much money or fuel; cheap to run
economically,in a way that saves money; in terms of trade and industry
economist,a person who studies how money and trade work
economize,to spend less money than before
editorial,an article giving a newspaper's opinion; relating to what gets published
effectiveness,how well something works and gives the result you want
efficiently,in a way that works well without wasting time or money
electrical,relating to power that flows through wires
electrician,a worker who installs and repairs wiring in buildings
electronically,by using computers or the internet
elegant,attractive in a graceful and stylish way
elephant,a very large gray animal with a long nose and big ears
elevate,to lift something to a higher position; to raise someone's rank
elevator,a machine that carries people up and down inside a building
eligible,allowed to do or have something because you meet the rules
embassy,the office of one country's officials in another country
embed,to fix something firmly inside another thing
enclose,to put something inside an envelope; to surround an area
energetic,very active and full of life
engagement,an arranged meeting or appointment; a promise to marry
enjoyable,giving pleasure; pleasant to do
enroll,to join a course or program officially
enrollment,the act of joining a course; the number of students in a school
enthusiasm,a strong feeling of interest and excitement
enthusiast,a person who is very interested in a hobby or subject
enthusiastic,showing strong interest and excitement
enthusiastically,in a way that shows strong interest and excitement
entrepreneur,a person who starts a business and takes the risks
entrée,the main dish of a meal
environmentally,in a way that relates to the natural world around us
equip,to give someone the tools or skills they need
erase,to rub out marks or wipe away recorded data
escalator,a moving staircase between floors of a building
escort,to go with someone to guide or protect them
ethics,rules about what is morally right and wrong
euro,the money used in much of the EU such as in France and Spain
evacuate,to move people out of a dangerous place
evenly,in equal amounts; in a smooth regular way
evident,easy to see or understand; clear
excellence,the quality of being extremely good
exceptional,much better than usual; very unusual
excessive,much more than is needed or right
exclusive,limited to one person or group; not shared with others
exclusively,only; not including anyone or anything else
excursion,a short trip made for pleasure
exemption,official permission not to do or pay something
exit,a way out of a building; to leave a place
exotic,unusual and interesting because it comes from a far country
expedite,to make a process happen faster
expertise,deep knowledge or skill in a subject
expiration,the end of a period when something can be used
expire,to come to an end and stop being valid
explanatory,helping to make something easier to understand
explorer,a person who travels to unknown places to learn about them
extinguisher,a metal container used to put out fires
fabric,cloth used for making clothes and furniture
facilitate,to make something easier to do; to lead a meeting
factual,based on real information; true and not invented
faculty,the teachers of a school or college; a natural ability
familiarity,good knowledge of something from long experience
familiarize,to help someone get to know something new
fare,the money you pay to travel on a bus or train
farewell,words said when someone is leaving; a goodbye
fasten,to close or tie something firmly
fatigue,great tiredness after work or effort
faulty,not working the right way because something is wrong inside
favorable,showing approval; helpful and likely to bring success
fax,a machine that sends copies of papers down a phone line
feedback,comments about how well someone has done something
ferry,a boat that carries people across water regularly
finalize,to settle the last details of a plan or deal
firefighter,a person whose job is to put out flames and rescue people
firework,a device that explodes with bright colors in the sky
fiscal,relating to government money and taxes
fitness,the state of being healthy and strong from exercise
fixture,a part attached firmly inside a building such as a lamp
flavor,the taste of food or drink
flaw,a small fault that makes something less than perfect
fleet,a group of ships or vehicles owned by one company
flexibility,the ability to change easily to suit new conditions
flextime,a system that lets workers choose their own hours
flour,a white powder made from grain and used to bake bread
flu,an illness with fever and aches that spreads easily
fluctuate,to rise and fall in an irregular way
fluent,able to speak a language easily and well
flyer,a small printed sheet that advertises something
fog,thick cloud near the ground that makes it hard to see
folder,a cover for holding papers; a place for computer files
footwear,shoes and boots of any kind
forbid,to order someone not to do something
foreman,a worker who leads and checks a team on a job site
fork,a tool with points used for eating; a place where a road splits
formally,in an official and serious way; following the rules
fortunately,luckily; it is good that this happened
forum,a meeting or website where people share opinions
foster,to help something grow; to care for a child for a time
founder,the person who starts a company or organization
fountain,a structure that shoots water into the air
franchise,the right to sell a company's goods using its name
freelance,working for several companies rather than one employer
freight,goods carried by ship or truck over long distances
freighter,a large ship that carries goods
frustrate,to make someone annoyed by blocking what they want to do
fry,to cook food in hot oil
fundraise,to collect money for a charity or a cause
furnish,to put tables and chairs into a room; to supply something
gallon,a unit for measuring liquid equal to about four liters
garage,a building for keeping a car; a place where cars are repaired
garbage,waste material that you throw away
gardener,a person who takes care of plants and lawns
garment,a piece of clothing
gasoline,the fuel used to run cars
generalization,a broad statement based on only a few cases
generator,a machine that makes electricity
generic,not sold under a brand name; shared by a whole group
generous,willing to give more money or help than expected
genre,a type of film book or music with its own typical style
getaway,a short holiday; an escape after a crime
glove,a covering for the hand with parts for each finger
goods,things that are made to be sold
gossip,talk about other people's private lives
graduation,the ceremony when students receive their degree
gram,a small unit of weight; one thousandth of a kilo
graph,a drawing that shows how numbers change
graphic,a picture or drawing used in design; very clear and detailed
graphics,pictures and designs made or shown by a computer
grill,to cook food over strong direct heat; a metal frame for cooking
grocery,a shop selling food; food bought for the home
guidance,helpful advice given to someone
gum,a soft sweet you chew; the firm flesh around the teeth
gym,a room with machines for exercise and sport
gymnasium,a large hall used for exercise and indoor sport
habitual,done regularly as a fixed routine
hacker,a person who breaks into computer systems illegally
hallway,a passage inside a building that leads to rooms
hamburger,a round flat piece of meat eaten in a bread roll
handbook,a short guide giving useful information about a subject
handy,useful and easy to use; close by and easy to reach
hardware,the physical parts of a computer; tools and metal goods
hardworking,putting a lot of effort into a job
harmful,causing damage or injury
hazard,a thing that could cause harm or an accident
hazardous,dangerous and likely to cause harm
headache,a pain inside your skull; a problem that causes worry
headphone,a small speaker worn over the ear to listen privately
headquarter,to place a company's main office in a certain city
healthcare,medical services that keep people well
healthful,good for the body; likely to keep you well
heater,a machine that makes a room warm
helmet,a hard hat that protects the head
hereby,by this act or statement; used in official writing
hesitant,slow to act because you are unsure
hesitation,a short pause before acting because of doubt
highway,a wide main road between towns
hike,a long walk in the countryside; a sharp rise in prices
hiker,a person who takes long walks in the countryside
hobby,an activity you do for pleasure in your free time
homeless,having no place to live
homemade,cooked or made at your house rather than bought in a shop
homeowner,a person who has bought the house they live in
homework,school tasks that pupils must do at their house
honestly,in a truthful way; used to stress that you mean it
hospitality,friendly treatment of guests; the hotel and restaurant business
hotline,a special phone number for urgent help or advice
hourly,happening once every sixty minutes; paid for each such period worked
housekeep,to manage the cleaning and daily running of a home
housekeeper,a person paid to clean and manage a home
humidity,the amount of water in the air
hungry,wanting or needing food
hurricane,a violent storm with very strong circling winds
hygiene,keeping yourself and your things clean to stay healthy
ice cream,a sweet frozen food made from milk
icy,covered with frozen water; very cold
ideally,in the best possible situation; perfectly
identification,an official card showing who you are; the act of recognizing someone
illogical,not making sense; against clear reasoning
impact,a strong effect on something; the force of one thing hitting another
impatient,not willing to wait calmly
imperative,extremely important and urgent; a command form of a verb
inappropriate,not suitable for the situation
inclusive,with everything counted in the price; open to all people
incoming,arriving from somewhere else; newly chosen for a job
incomplete,not finished; missing some parts
inconvenience,trouble or difficulty that wastes your time
incur,to bring a cost or loss on yourself by your actions
indicator,a sign that shows what a situation is like
indirect,not going straight; not said in a plain open way
individually,one by one; separately
indoor,used or happening inside a building
induction,the training given to a new worker; a formal start in a new role
inefficient,wasting time money or effort
inexpensive,not costing much money
inexperience,a lack of skill because you have not done something before
infer,to work out something from clues rather than being told
inference,a conclusion worked out from clues
inflate,to fill something with air; to make prices rise
influential,having the power to change what people think or do
informal,relaxed and friendly; not following official rules
informative,giving a lot of useful facts
ingredient,one of the foods used to make a dish
ink,the colored liquid used for writing and printing
innovative,using clever new ideas and methods
inquire,to ask for information about something
insert,to put something into a space or a text
inspect,to look at something closely to check its condition or quality
inspection,a careful official check of a place or thing
inspector,an official whose job is to check standards
inspiration,a person or thing that gives you a good idea; creative energy
installation,the act of putting equipment in place ready to use
institute,an organization for teaching or research; to start a system
instruct,to teach someone; to give an order
instructor,a person who teaches a practical skill
insufficient,not enough for what is needed
integral,necessary as a basic part of something
intently,with close attention and focus
interactive,letting a person and a machine react to each other
interfere,to get involved in something that is not your business
intern,a student who works at a company for a short time to learn
internationally,in a way that involves many countries
internet,the worldwide system that links computers together
internship,a short period of work at a company to gain experience
interpreter,a person who changes spoken words from one language into another
interrupt,to stop someone while they are speaking or doing something
intersection,a place where two roads cross
intonation,the rise and fall of the voice when speaking
introductory,coming at the start; meant for beginners
invaluable,extremely useful; of very great worth
invention,a new device or method made by someone for the first time
inventory,a full list of the goods a shop or company has in stock
invoice,a bill listing goods sold and the money owed for them
irregular,not even in shape or timing; not following the usual pattern
irrelevant,not connected with the subject; not important here
irritate,to annoy someone; to make skin sore
itinerary,a plan of a journey showing places and times
jam,a sweet spread made from fruit and sugar; a blockage of traffic
jazz,a style of music with strong rhythm and free playing
jeans,trousers made of strong blue cotton cloth
jet,a fast plane with powerful engines; a strong stream of liquid
jewelry,rings and necklaces and other small items worn for decoration
jog,to run slowly for exercise
journalism,the work of collecting and reporting news
juice,the liquid from fruit or vegetables
junior,lower in rank or age
junk,things with no use or value; rubbish
keyboard,the set of keys you press to type on a computer or play music
kilogram,a metric unit of mass equal to about 2.2 pounds
kilometer,a metric unit of distance equal to about 0.6 miles
kit,a set of tools or parts for a particular job
knowledgeable,well informed about a subject
lab,a room with equipment for scientific tests
ladder,a set of steps used for climbing up to high places
lamp,a device that gives light
landlord,a person who rents out a house or flat to others
lane,a narrow road; one marked strip of a wide road
laptop,a small computer you can carry and use on your knees
lately,in the recent past; not long ago
laundry,clothes that need washing; a place where clothes are washed
lawn,an area of short cut grass around a house
layoff,the ending of a worker's job because there is not enough work
layout,the way parts of a page or room are arranged
leak,to let liquid or gas escape through a hole
lease,a contract to rent property for a fixed time
lecturer,a person who teaches at a university
leisure,free time when you can relax and do what you enjoy
lengthy,lasting or continuing for a very long time
letterhead,a printed name and address at the top of company paper
librarian,a person who works in a place that lends books
lifeguard,a person who watches swimmers and saves them from drowning
lifestyle,the way a person lives from day to day
lifetime,the whole period that someone is alive
lighter,a small device for making a flame; less heavy than before
lightweight,not heavy and easy to carry; not serious or important
likewise,in the same way; also
liter,a metric unit for measuring liquid
lobby,the entrance hall of a hotel or office building
locally,in or near the area where you live
locker,a small metal cupboard where you keep your things at work or school
logical,sensible and based on clear reasons
login,the act of entering a name and password to use a computer system
logo,a small design that a company uses as its symbol
loudly,in a way that makes a lot of noise
lounge,a comfortable room for sitting and waiting
loyal,always faithful to a person or company
loyalty,the quality of being faithful and supportive
luggage,the bags and cases you take when traveling
luncheon,a formal midday meal for a group of people
lunchtime,the part of the day when the midday meal is eaten
ma'am,a polite way to address a woman
machinery,large heavy equipment used in factories or on farms
malfunction,to stop working correctly
mall,a large building with many shops inside
managerial,relating to the work of running a business or team
mandatory,required by a rule or law
manual,a book of instructions; done by hand rather than by machine
mask,a covering worn over the face
massage,to rub the body to reduce pain and help someone relax
maximize,to make something as large or as useful as possible
meaningful,having a clear purpose or value; important
meantime,the time until something else happens
mechanic,a person whose job is to repair engines and machines
mechanical,worked by a machine; done without thinking
media,newspapers and television and the other ways news reaches people
medication,a drug used to treat an illness
memo,a short written message sent inside a company
memorandum,a short official note sent between people at work
memorize,to learn words or facts so well that you can say them without help
mentor,an experienced person who advises and guides someone younger
merchandise,goods that are bought and sold
merchant,a person who buys and sells goods in large amounts
merge,to join two things together into one
merger,the joining of two companies into one
merit,a good quality that deserves praise
messenger,a person who carries notes or packages to others
microphone,a device that picks up sound so it can be recorded or made louder
microscope,an instrument that makes very small things look much bigger
microwave,an oven that heats food very quickly with electric energy
midnight,twelve o'clock at night
mild,not strong or severe; gentle in effect
mileage,the distance a vehicle has traveled or can go on one tank of fuel
mineral,a natural solid substance found in the ground
mini,very small; smaller than the usual size
minimize,to make something as small as possible; to reduce a bad effect
misidentify,to wrongly believe that a person or thing is someone or something else
mislead,to make someone believe something that is not true
misplace,to put something somewhere and then be unable to find it
mister,a title used before a man's family name
modem,a device that connects a computer to the internet
modification,a small change made to improve something
monument,a statue or building put up to remember a person or event
morale,the level of confidence and cheerfulness in a group
mosquito,a small flying insect that bites and sucks blood
motorcycle,a two-wheeled vehicle with an engine
mower,a machine for cutting grass
nail,a thin metal pin hit into wood; the hard part at the end of a finger
nap,a short sleep during the day
nationwide,happening in every part of a country
neat,tidy and in good order
necessity,something that you must have; a thing you cannot do without
necklace,a chain or beads worn around the throat as decoration
needy,very poor and lacking basic things
newsletter,a short printed report sent regularly to members of a group
newsstand,a small outdoor shop that sells papers and magazines
noisy,making a lot of loud sound
nominate,to suggest someone formally for a job or an award
nomination,the formal suggesting of a person for a job or an award
noon,twelve o'clock in the middle of the day
notify,to tell someone about something officially
nutrition,the process of getting the food the body needs to stay healthy
o'clock,used to say the exact hour of the day
obligate,to make someone do something by law or duty
oblige,to force someone to do something; to help someone kindly
obtain,to get something you want or need
occupancy,the use of a room or building by people living or working in it
occupant,a person living or working in a room or building
occupation,the job a person does; the taking of a country by an army
occurrence,something that happens; an event
officially,in a formal way approved by those in charge
omit,to leave something out
ongoing,still happening and not yet finished
operational,ready for use and working properly
opt,to choose one thing rather than another
optimistic,hoping and expecting that good things will happen
optional,left to your own choice; not required
orchestra,a large group of musicians who play together
organizational,relating to how a company or group is arranged and run
organizer,a person who plans and arranges an event
orientation,a short program to help new people learn about a job or school
outage,a period when the electricity or a service stops working
outdate,to make something seem old and no longer useful
outdoor,in the open air rather than inside a building
outfit,a set of clothes worn together
outlet,a socket in a wall for electric power; a shop that sells cheaply
outlook,the way things are expected to be in future; a point of view
outstanding,extremely good; not yet paid or dealt with
oval,shaped like an egg
oven,a closed box that gets hot inside for baking food
overcharge,to ask someone for too much money
overcrowd,to fill a space with too many people
overdue,later than the time it should have arrived or been paid
overhead,above you in the sky or ceiling; the running costs of a business
overlook,to fail to notice something; to have a view down onto a place
overnight,lasting from one evening until the next morning
overpay,to give someone more money than the correct amount
oversee,to watch a job being done and make sure it is done well
