Spanish,English
andén; el andén,platform
vía; la vía,track; lane
puerto; el puerto,port; harbor
conductor; el conductor,driver
pasajero; el pasajero,passenger
peatón; el peatón,pedestrian
camión; el camión,truck; lorry
furgoneta; la furgoneta,van
gasolina; la gasolina,gasoline; petrol
rueda; la rueda,wheel; tire
volante; el volante,steering wheel
freno; el freno,brake
motor; el motor,engine; motor
equipaje; el equipaje,luggage; baggage
reserva; la reserva,reservation; booking
horario; el horario,schedule; timetable
retraso; el retraso,delay
destino; el destino,destination; fate
recuerdo; el recuerdo,souvenir; memory
guía; el guía,guide
excursión; la excursión,trip; excursion
aventura; la aventura,adventure
extranjero; el extranjero,foreigner; abroad
aduana; la aduana,customs
trayecto; el trayecto,journey; route
moda; la moda,fashion
talla; la talla,size (clothing)
traje; el traje,suit
corbata; la corbata,tie
cinturón; el cinturón,belt
bufanda; la bufanda,scarf
guante; el guante,glove
gorra; la gorra,cap
zapatilla; la zapatilla,slipper; sneaker
sandalia; la sandalia,sandal
pijama; el pijama,pajamas
bañador; el bañador,swimsuit
bolsillo; el bolsillo,pocket
botón; el botón,button
anillo; el anillo,ring
collar; el collar,necklace
pulsera; la pulsera,bracelet
joya; la joya,jewel; piece of jewelry
paraguas; el paraguas,umbrella
compra; la compra,purchase; shopping
oferta; la oferta,offer; deal
descuento; el descuento,discount
rebajas; las rebajas,sales; discounts
gasto; el gasto,expense
tarjeta; la tarjeta,card
efectivo; el efectivo,cash
moneda; la moneda,coin; currency
recibo; el recibo,receipt
factura; la factura,invoice; bill
caja; la caja,box; cash register
cliente; el cliente,customer; client
vendedor; el vendedor,salesperson; seller
producto; el producto,product
marca; la marca,brand
calidad; la calidad,quality
cantidad; la cantidad,quantity; amount
gratis,free (of charge)
gastar,to spend
ahorrar,to save (money)
prestar,to lend
devolver,to return; to give back
profesión; la profesión,profession
carrera; la carrera,career; degree; race
sueldo; el sueldo,salary; wage
contrato; el contrato,contract
entrevista; la entrevista,interview
currículum; el currículum,resume; CV
proyecto; el proyecto,project
tarea; la tarea,task; chore
informe; el informe,report
documento; el documento,document
negocio; el negocio,business
abogado; el abogado,lawyer
ingeniero; el ingeniero,engineer
arquitecto; el arquitecto,architect
periodista; el periodista,journalist
escritor; el escritor,writer
artista; el artista,artist
pintor; el pintor,painter
actor; el actor,actor
cantante; el cantante,singer
músico; el músico,musician
dependiente; el dependiente,shop assistant
mecánico; el mecánico,mechanic
fontanero; el fontanero,plumber
granjero; el granjero,farmer
bombero; el bombero,firefighter
empleado; el empleado,employee
dueño; el dueño,owner
director; el director,director; manager
presidente; el presidente,president
político; el político,politician
despacho; el despacho,office (room)
fábrica; la fábrica,factory
taller; el taller,workshop
granja; la granja,farm
oficio; el oficio,trade; occupation
asignatura; la asignatura,school subject
curso; el curso,course; school year
nota; la nota,grade; note
aprobar,to pass (exam)
suspender,to fail (exam)
matemáticas; las matemáticas,mathematics
historia; la historia,history; story
geografía; la geografía,geography
ciencia; la ciencia,science
arte; el arte,art
dibujo; el dibujo,drawing
educación; la educación,education
conocimiento; el conocimiento,knowledge
título; el título,degree; title
alumno; el alumno,pupil; student
maestro; el maestro,teacher; master
pizarra; la pizarra,blackboard; whiteboard
regla; la regla,ruler; rule
goma; la goma,eraser; rubber
diccionario; el diccionario,dictionary
ejercicio; el ejercicio,exercise
resultado; el resultado,result
error; el error,mistake; error
duda; la duda,doubt
tema; el tema,topic; subject
tecnología; la tecnología,technology
pantalla; la pantalla,screen
teclado; el teclado,keyboard
archivo; el archivo,file
carpeta; la carpeta,folder
contraseña; la contraseña,password
usuario; el usuario,user; username
página; la página,page
red; la red,network; net
internet; el internet,internet
conexión; la conexión,connection
aplicación; la aplicación,app; application
programa; el programa,program; show
cámara; la cámara,camera
vídeo; el vídeo,video
altavoz; el altavoz,speaker
auriculares; los auriculares,headphones
cargador; el cargador,charger
batería; la batería,battery
señal; la señal,signal; sign
llamada; la llamada,call
buzón; el buzón,mailbox; inbox
sello; el sello,stamp; seal
paquete; el paquete,package; parcel
noticia; la noticia,news
anuncio; el anuncio,advertisement; announcement
prensa; la prensa,press
canal; el canal,channel
conseguir,to get; to achieve
lograr,to manage; to achieve
intentar,to try; to attempt
tratar,to treat; to deal with
permitir,to allow; to permit
prohibir,to forbid; to ban
decidir,to decide
elegir,to choose
preparar,to prepare
organizar,to organize
planear,to plan
participar,to participate
presentar,to introduce; to present
reservar,to book; to reserve
alquilar,to rent
mudarse,to move (house)
construir,to build
arreglar,to fix; to arrange
romper,to break
reparar,to repair
funcionar,to work; to function
apagar,to turn off
encender,to turn on; to light
cargar,to charge; to load
descargar,to download; to unload
grabar,to record
imprimir,to print
dibujar,to draw
pintar,to paint
crear,to create
inventar,to invent
descubrir,to discover
investigar,to research; to investigate
explicar,to explain
describir,to describe
comparar,to compare
discutir,to argue; to discuss
charlar,to chat
comentar,to comment; to mention
mencionar,to mention
repetir,to repeat
traducir,to translate
significar,to mean
firmar,to sign
rellenar,to fill in; to fill out
anotar,to note down; to jot
corregir,to correct
mejorar,to improve
aumentar,to increase
reducir,to reduce
crecer,to grow
desarrollar,to develop
continuar,to continue
acabar,to finish; to run out
durar,to last
tardar,to take time; to be late
suceder,to happen
ocurrir,to happen; to occur
resultar,to turn out; to result
depender,to depend
convertirse,to become
parecer,to seem; to look like
quedar,to arrange to meet; to remain
quedarse,to stay
acercarse,to approach; to come closer
caer,to fall
caerse,to fall down
saltar,to jump
tirar,to throw; to pull
empujar,to push
coger,to take; to catch
soltar,to let go; to release
golpear,to hit; to knock
esconder,to hide
mostrar,to show
señalar,to point out; to indicate
escoger,to choose; to pick
aceptar,to accept
rechazar,to reject; to refuse
negar,to deny; to refuse
admitir,to admit
prometer,to promise
invitar,to invite
felicitar,to congratulate
agradecer,to thank
saludar,to greet
despedirse,to say goodbye
presentarse,to introduce oneself
quejarse,to complain
disculparse,to apologize
aburrirse,to get bored
divertirse,to have fun
relajarse,to relax
cansarse,to get tired
casarse,to get married
separarse,to separate; to split up
nacer,to be born
morir,to die
vestirse,to get dressed
peinarse,to comb one's hair
afeitarse,to shave
despertarse,to wake up
dormirse,to fall asleep
soñar,to dream
sentarse,to sit down
ponerse,to put on; to become
quitarse,to take off
probarse,to try on
acordarse,to remember
fijarse,to notice; to pay attention
darse cuenta,to realize
atreverse,to dare
apoyar,to support
cuidarse,to take care of oneself
acostumbrarse,to get used to
preocuparse,to worry
imaginar,to imagine
suponer,to suppose
reconocer,to recognize; to admit
mantener,to keep; to maintain
conservar,to keep; to preserve
evitar,to avoid
permanecer,to remain; to stay
alcanzar,to reach; to catch up
aparecer,to appear
desaparecer,to disappear
colaborar,to collaborate
pertenecer,to belong
compartir,to share
repartir,to distribute; to share out
ofrecer,to offer
regalar,to give (as a gift)
pedir,to ask for; to order
exigir,to demand
obligar,to force; to oblige
castigar,to punish
pelear,to fight
protestar,to protest
resolver,to solve; to resolve
solucionar,to solve
comprobar,to check; to verify
revisar,to check; to review
vigilar,to watch; to guard
proteger,to protect
salvar,to save; to rescue
rescatar,to rescue
robar,to steal; to rob
matar,to kill
disparar,to shoot
pesar,to weigh
medir,to measure
contener,to contain
llenar,to fill
vaciar,to empty
doblar,to fold; to turn
estirar,to stretch
apretar,to press; to squeeze
idea; la idea,idea
opinión; la opinión,opinion
razón; la razón,reason
motivo; el motivo,reason; motive
causa; la causa,cause
consecuencia; la consecuencia,consequence
situación; la situación,situation
condición; la condición,condition
estado; el estado,state; condition
nivel; el nivel,level
ejemplo; el ejemplo,example
caso; el caso,case
modo; el modo,way; manner
manera; la manera,way; manner
sentido; el sentido,sense; meaning
