French,English
excursion; l'excursion; une excursion,excursion; day trip
emploi; l'emploi; un emploi,job; employment
profession; la profession,profession
carrière; la carrière,career
salaire; le salaire,salary; wage
contrat; le contrat,contract
chômage; le chômage,unemployment
retraite; la retraite,retirement; pension
employé; l'employé; un employé,employee
employeur; l'employeur; un employeur,employer
ouvrier; l'ouvrier; un ouvrier,worker; laborer
directeur; le directeur,director; manager
secrétaire; le secrétaire,secretary
ingénieur; l'ingénieur; un ingénieur,engineer
avocat; l'avocat; un avocat,lawyer
infirmier; l'infirmier; un infirmier,nurse
dentiste; le dentiste,dentist
pompier; le pompier,firefighter
facteur; le facteur,mailman; postman
coiffeur; le coiffeur,hairdresser
boulanger; le boulanger,baker
agriculteur; l'agriculteur; un agriculteur,farmer
écrivain; l'écrivain; un écrivain,writer
journaliste; le journaliste,journalist
acteur; l'acteur; un acteur,actor
chanteur; le chanteur,singer
musicien; le musicien,musician
peintre; le peintre,painter
vétérinaire; le vétérinaire,veterinarian
projet; le projet,project
tâche; la tâche,task
dossier; le dossier,file; folder
document; le document,document
rapport; le rapport,report; relationship
congé; le congé,leave; time off
grève; la grève,strike
diplôme; le diplôme,diploma; degree
note; la note,grade; note
matière; la matière,subject; material
mathématiques; les mathématiques,mathematics
géographie; la géographie,geography
sciences; les sciences,science
informatique; l'informatique; une informatique,computing; IT
économie; l'économie; une économie,economy; economics
droit; le droit,law; right
recherche; la recherche,research; search
résultat; le résultat,result
progrès; le progrès,progress
effort; l'effort; un effort,effort
erreur; l'erreur; une erreur,mistake; error
règle; la règle,rule; ruler
exercice; l'exercice; un exercice,exercise
traduction; la traduction,translation
niveau; le niveau,level
connaissance; la connaissance,knowledge; acquaintance
compétence; la compétence,skill; competence
expérience; l'expérience; une expérience,experience; experiment
monnaie; la monnaie,change; currency
caisse; la caisse,checkout; cash register
caissier; le caissier,cashier
reçu; le reçu,receipt
facture; la facture,bill; invoice
carte bancaire; la carte bancaire,bank card
compte; le compte,account
crédit; le crédit,credit
réduction; la réduction,discount
solde; le solde,sale; balance
promotion; la promotion,special offer; promotion
pointure; la pointure,shoe size
rayon; le rayon,aisle; department
produit; le produit,product
marque; la marque,brand
qualité; la qualité,quality
quantité; la quantité,quantity
emballage; l'emballage; un emballage,packaging
panier; le panier,basket
commande; la commande,order
livraison; la livraison,delivery
échange; l'échange; un échange,exchange
dépense; la dépense,expense; spending
impôt; l'impôt; un impôt,tax
environnement; l'environnement; un environnement,environment
pollution; la pollution,pollution
climat; le climat,climate
température; la température,temperature
degré; le degré,degree
saison; la saison,season
brouillard; le brouillard,fog
tempête; la tempête,storm
éclair; l'éclair; un éclair,lightning; flash
tonnerre; le tonnerre,thunder
chaleur; la chaleur,heat
ombre; l'ombre; une ombre,shade; shadow
lumière; la lumière,light
vague; la vague,wave
sable; le sable,sand
rocher; le rocher,rock
colline; la colline,hill
vallée; la vallée,valley
champ; le champ,field
feuille; la feuille,leaf; sheet
branche; la branche,branch
herbe; l'herbe; une herbe,grass
racine; la racine,root
ferme; la ferme,farm
insecte; l'insecte; un insecte,insect
mouche; la mouche,fly
abeille; l'abeille; une abeille,bee
papillon; le papillon,butterfly
araignée; l'araignée; une araignée,spider
fourmi; la fourmi,ant
moustique; le moustique,mosquito
serpent; le serpent,snake
grenouille; la grenouille,frog
poule; la poule,hen
canard; le canard,duck
coq; le coq,rooster
chèvre; la chèvre,goat
âne; l'âne; un âne,donkey
loup; le loup,wolf
ours; l'ours; un ours,bear
renard; le renard,fox
lion; le lion,lion
éléphant; l'éléphant; un éléphant,elephant
singe; le singe,monkey
tigre; le tigre,tiger
requin; le requin,shark
tortue; la tortue,turtle
aile; l'aile; une aile,wing
queue; la queue,tail; queue
patte; la patte,paw; leg (animal)
loisir; le loisir,leisure; hobby
spectacle; le spectacle,show; performance
concert; le concert,concert
théâtre; le théâtre,theater
scène; la scène,stage; scene
public; le public,audience; public
roman; le roman,novel
poème; le poème,poem
peinture; la peinture,painting
dessin; le dessin,drawing
œuvre; l'œuvre; une œuvre,work (of art)
tableau; le tableau,painting; board
instrument; l'instrument; un instrument,instrument
guitare; la guitare,guitar
piano; le piano,piano
violon; le violon,violin
orchestre; l'orchestre; un orchestre,orchestra
match; le match,match; game
joueur; le joueur,player
entraîneur; l'entraîneur; un entraîneur,coach; trainer
terrain; le terrain,field; ground
stade; le stade,stadium
but; le but,goal; aim
victoire; la victoire,victory
défaite; la défaite,defeat
champion; le champion,champion
course; la course,race
randonnée; la randonnée,hike; hiking
jouet; le jouet,toy
exposition; l'exposition; une exposition,exhibition
écran; l'écran; un écran,screen
clavier; le clavier,keyboard
application; l'application; une application,app; application
internet; l'internet,internet
réseau; le réseau,network
message; le message,message
courriel; le courriel,email
mot de passe; le mot de passe,password
fichier; le fichier,file (computer)
imprimante; l'imprimante; une imprimante,printer
appareil; l'appareil; un appareil,device; appliance
chargeur; le chargeur,charger
écouteurs; les écouteurs,earphones; headphones
casque; le casque,helmet; headphones
chaîne; la chaîne,channel; chain
émission; l'émission; une émission,program; broadcast
publicité; la publicité,advertising; ad
information; l'information; une information,information
actualité; l'actualité; une actualité,news; current events
presse; la presse,press
lien; le lien,link
page; la page,page
bouton; le bouton,button
logiciel; le logiciel,software
blessure; la blessure,injury; wound
opération; l'opération; une opération,operation; surgery
ordonnance; l'ordonnance; une ordonnance,prescription
comprimé; le comprimé,tablet; pill
sirop; le sirop,syrup
pansement; le pansement,bandage
piqûre; la piqûre,injection; sting
vaccin; le vaccin,vaccine
traitement; le traitement,treatment
urgence; l'urgence; une urgence,emergency
ambulance; l'ambulance; une ambulance,ambulance
patient; le patient,patient
symptôme; le symptôme,symptom
toux; la toux,cough
grippe; la grippe,flu
allergie; l'allergie; une allergie,allergy
régime; le régime,diet
forme; la forme,shape; fitness
poids; le poids,weight
peau; la peau,skin
os; l'os; un os,bone
muscle; le muscle,muscle
sang; le sang,blood
gorge; la gorge,throat
épaule; l'épaule; une épaule,shoulder
genou; le genou,knee
doigt; le doigt,finger
cou; le cou,neck
lèvre; la lèvre,lip
sommeil; le sommeil,sleep
chose; la chose,thing
truc; le truc,thing; thingy (informal)
affaire; l'affaire; une affaire,matter; deal
situation; la situation,situation
problème; le problème,problem
solution; la solution,solution
raison; la raison,reason
cause; la cause,cause
conséquence; la conséquence,consequence
moyen; le moyen,means; way
manière; la manière,manner; way
façon; la façon,way; manner
occasion; l'occasion; une occasion,opportunity; occasion
chance; la chance,luck; chance
risque; le risque,risk
danger; le danger,danger
sécurité; la sécurité,safety; security
liberté; la liberté,freedom
vérité; la vérité,truth
mensonge; le mensonge,lie
secret; le secret,secret
différence; la différence,difference
relation; la relation,relationship
décision; la décision,decision
choix; le choix,choice
avis; l'avis; un avis,opinion; notice
conseil; le conseil,advice; council
service; le service,service; favor
détail; le détail,detail
partie; la partie,part
ordre; l'ordre; un ordre,order (command or sequence)
sens; le sens,meaning; direction; sense
valeur; la valeur,value
force; la force,strength; force
énergie; l'énergie; une énergie,energy
effet; l'effet; un effet,effect
avantage; l'avantage; un avantage,advantage
inconvénient; l'inconvénient; un inconvénient,disadvantage
besoin; le besoin,need
objectif; l'objectif; un objectif,objective; goal
succès; le succès,success
échec; l'échec; un échec,failure
rencontre; la rencontre,meeting; encounter
contact; le contact,contact
aide; l'aide; une aide,help
espèce; l'espèce; une espèce,kind; species
devenir,to become
revenir,to come back
retourner,to return; to go back
passer,to pass; to spend (time)
rendre,to give back; to make
apporter,to bring (a thing)
amener,to bring (a person)
laisser,to leave; to let
garder,to keep; to look after
tenir,to hold
jeter,to throw away
pousser,to push
tirer,to pull; to shoot
tourner,to turn
traverser,to cross
suivre,to follow
conduire,to drive
voler,to fly; to steal
sauter,to jump
bouger,to move
cacher,to hide
remplir,to fill
casser,to break
réparer,to repair; to fix
construire,to build
créer,to create
couper,to cut
allumer,to turn on; to light
éteindre,to turn off
ranger,to tidy; to put away
réserver,to book; to reserve
annuler,to cancel
proposer,to offer; to suggest
accepter,to accept
refuser,to refuse
décider,to decide
réussir,to succeed; to pass
recevoir,to receive
offrir,to offer; to give (gift)
prêter,to lend
emprunter,to borrow
dépenser,to spend (money)
compter,to count
ajouter,to add
enlever,to remove; to take off
cuisiner,to cook
goûter,to taste
servir,to serve
partager,to share
soigner,to treat; to care for
guérir,to heal; to recover
pleurer,to cry
rire,to laugh
raconter,to tell (a story)
discuter,to discuss; to chat
se souvenir,to remember
se sentir,to feel
s'inquiéter,to worry
se reposer,to rest
se dépêcher,to hurry
croire,to believe
réfléchir,to think; to reflect
utiliser,to use
améliorer,to improve
éviter,to avoid
permettre,to allow
obtenir,to get; to obtain
remercier,to thank
fier,proud
inquiet,worried
prêt,ready
nécessaire,necessary
utile,useful
parfait,perfect
génial,brilliant; great
dangereux,dangerous
prudent,careful; cautious
sérieux,serious
honnête,honest
poli,polite
timide,shy
courageux,brave
paresseux,lazy
intelligent,intelligent; smart
calme,calm
tranquille,quiet; calm
agréable,pleasant
généreux,generous
capable,capable; able
possible,possible
impossible,impossible
simple,simple
compliqué,complicated
moderne,modern
ancien,old; former
frais,fresh; cool
sec,dry
doux,soft; gentle; sweet
